task,tps,accuracy
puzzles-latin_square,1.8029782922606512,11.0
puzzles-latin_square,2.1249153076976453,12.0
puzzles-latin_square,2.567953290882352,3.0
puzzles-latin_square,3.0375865396923416,5.0
puzzles-latin_square,3.428309597523219,4.0
puzzles-sudoku,2.7451591037897973,26.0
puzzles-sudoku,3.1492540139598955,27.0
puzzles-sudoku,4.355958707958709,25.0
puzzles-sudoku,4.8789792135146826,35.0
puzzles-sudoku,5.47210450368345,31.0
textwriting-paraphrasing,2.184316419122548,87.0
textwriting-paraphrasing,2.511655806476138,87.0
textwriting-paraphrasing,2.918703387617674,87.0
textwriting-paraphrasing,3.4511724703800493,89.0
textwriting-paraphrasing,4.079836412043708,91.0
textwriting-summarization,1.5426758521587627,90.0
textwriting-summarization,1.6991398686407353,87.0
textwriting-summarization,1.9372899765034217,85.0
textwriting-summarization,2.279117269636628,89.0
textwriting-summarization,2.5633083102824945,82.0
textwriting-w2s_easy,2.438700459221406,96.0
textwriting-w2s_easy,2.790193477521517,94.0
textwriting-w2s_easy,3.1283468086355297,96.0
textwriting-w2s_easy,3.643378049785097,95.0
textwriting-w2s_easy,4.192104050060705,90.0
textwriting-w2s_hard,1.9543697716297337,88.0
textwriting-w2s_hard,2.1894863005572676,88.0
textwriting-w2s_hard,2.4288124658410375,88.0
textwriting-w2s_hard,2.720848006072798,89.0
textwriting-w2s_hard,3.1910284802916373,82.0
textwriting-w2s_medium,2.408660286905448,97.0
textwriting-w2s_medium,2.7472143713821464,96.0
textwriting-w2s_medium,3.0846365775689075,97.0
textwriting-w2s_medium,3.586882864942751,92.0
textwriting-w2s_medium,4.169346495265999,87.0
waitingline-copy,3.620906204906205,89.0
waitingline-copy,4.089812409812409,89.0
waitingline-copy,4.657904761904762,89.0
waitingline-copy,5.104761904761904,89.0
waitingline-copy,5.412952380952382,89.0
waitingline-insert_index,2.796219153395624,69.0
waitingline-insert_index,3.231637695637695,68.0
waitingline-insert_index,3.6691211011211005,70.0
waitingline-insert_index,4.180790764790765,67.0
waitingline-insert_index,4.510857142857143,69.0
waitingline-insert_random,3.0768583834466186,86.0
waitingline-insert_random,3.6092041292041297,84.0
waitingline-insert_random,4.07182683982684,82.0
waitingline-insert_random,4.439261183261183,83.0
waitingline-insert_random,4.930539682539681,80.0
waitingline-remove_index,3.63246176046176,28.000000000000004
waitingline-remove_index,4.1380432900432895,31.0
waitingline-remove_index,4.687746031746031,28.999999999999996
waitingline-remove_index,5.176634920634921,31.0
waitingline-remove_index,5.429333333333335,33.0
waitingline-remove_random,3.2218927738927747,89.0
waitingline-remove_random,3.712554112554112,83.0
waitingline-remove_random,4.235555555555555,78.0
waitingline-remove_random,4.729015873015872,68.0
waitingline-remove_random,4.968253968253967,63.0
waitingline-replace_index,2.989693417693417,30.0
waitingline-replace_index,3.454544566544567,33.0
waitingline-replace_index,4.009685425685425,33.0
waitingline-replace_index,4.546712842712843,34.0
waitingline-replace_index,4.90463492063492,34.0
waitingline-replace_random,3.3538843378843386,90.0
waitingline-replace_random,3.738411810411811,88.0
waitingline-replace_random,4.268629148629149,86.0
waitingline-replace_random,4.723428571428571,83.0
waitingline-replace_random,5.124063492063492,75.0
waitingline-reverse,3.159472083472083,77.0
waitingline-reverse,3.509394239747181,72.0
waitingline-reverse,3.941237429237429,69.0
waitingline-reverse,4.402276834276834,64.0
waitingline-reverse,4.677852813852812,62.0
waitingline-shuffle,2.413642566583743,60.0
waitingline-shuffle,2.657722356075297,47.0
waitingline-shuffle,3.0310596070596074,37.0
waitingline-shuffle,3.3924875124875133,25.0
waitingline-shuffle,3.749598845598846,10.0
waitingline-sort,2.909616161616161,28.999999999999996
waitingline-sort,3.3817631257631264,24.0
waitingline-sort,3.840900432900433,25.0
waitingline-sort,4.228225108225108,23.0
waitingline-sort,4.639619047619047,17.0
avg,1.5426758521587627,90.0
avg,1.6991398686407353,87.0
avg,1.8029782922606512,11.0
avg,1.9372899765034217,85.0
avg,1.9543697716297337,88.0
avg,2.1249153076976453,12.0
avg,2.184316419122548,87.0
avg,2.1894863005572676,88.0
avg,2.279117269636628,89.0
avg,2.408660286905448,97.0
avg,2.413642566583743,60.0
avg,2.4288124658410375,88.0
avg,2.438700459221406,96.0
avg,2.511655806476138,87.0
avg,2.5633083102824945,82.0
avg,2.567953290882352,3.0
avg,2.657722356075297,47.0
avg,2.720848006072798,89.0
avg,2.7451591037897973,26.0
avg,2.7472143713821464,96.0
avg,2.790193477521517,94.0
avg,2.796219153395624,69.0
avg,2.909616161616161,28.999999999999996
avg,2.918703387617674,87.0
avg,2.989693417693417,30.0
avg,3.0310596070596074,37.0
avg,3.0375865396923416,5.0
avg,3.0768583834466186,86.0
avg,3.0846365775689075,97.0
avg,3.1283468086355297,96.0
avg,3.1492540139598955,27.0
avg,3.159472083472083,77.0
avg,3.1910284802916373,82.0
avg,3.2218927738927747,89.0
avg,3.231637695637695,68.0
avg,3.3538843378843386,90.0
avg,3.3817631257631264,24.0
avg,3.3924875124875133,25.0
avg,3.428309597523219,4.0
avg,3.4511724703800493,89.0
avg,3.454544566544567,33.0
avg,3.509394239747181,72.0
avg,3.586882864942751,92.0
avg,3.6092041292041297,84.0
avg,3.620906204906205,89.0
avg,3.63246176046176,28.000000000000004
avg,3.643378049785097,95.0
avg,3.6691211011211005,70.0
avg,3.712554112554112,83.0
avg,3.738411810411811,88.0
avg,3.749598845598846,10.0
avg,3.840900432900433,25.0
avg,3.941237429237429,69.0
avg,4.009685425685425,33.0
avg,4.07182683982684,82.0
avg,4.079836412043708,91.0
avg,4.089812409812409,89.0
avg,4.1380432900432895,31.0
avg,4.169346495265999,87.0
avg,4.180790764790765,67.0
avg,4.192104050060705,90.0
avg,4.228225108225108,23.0
avg,4.235555555555555,78.0
avg,4.268629148629149,86.0
avg,4.355958707958709,25.0
avg,4.402276834276834,64.0
avg,4.439261183261183,83.0
avg,4.510857142857143,69.0
avg,4.546712842712843,34.0
avg,4.639619047619047,17.0
avg,4.657904761904762,89.0
avg,4.677852813852812,62.0
avg,4.687746031746031,28.999999999999996
avg,4.723428571428571,83.0
avg,4.729015873015872,68.0
avg,4.8789792135146826,35.0
avg,4.90463492063492,34.0
avg,4.930539682539681,80.0
avg,4.968253968253967,63.0
avg,5.104761904761904,89.0
avg,5.124063492063492,75.0
avg,5.176634920634921,31.0
avg,5.412952380952382,89.0
avg,5.429333333333335,33.0
avg,5.47210450368345,31.0
