task,tps,accuracy
puzzles-sudoku,1.9423,19.4444
puzzles-sudoku,3.1388,20.3704
puzzles-sudoku,5.0024,19.9074
puzzles-sudoku,7.7944,19.4444
puzzles-sudoku,11.3907,20.3704
puzzles-sudoku,14.4956,12.963
textwriting-paraphrasing,1.3835,90.0
textwriting-paraphrasing,3.5718,90.0
textwriting-paraphrasing,4.7747,90.0
textwriting-paraphrasing,6.4919,90.0
textwriting-paraphrasing,8.1069,87.0
textwriting-paraphrasing,10.5263,83.0
textwriting-summarization,1.0433,90.0
textwriting-summarization,1.6377,90.0
textwriting-summarization,2.1112,89.0
textwriting-summarization,2.6425,89.0
textwriting-summarization,3.4421,83.0
textwriting-summarization,4.7383,82.0
textwriting-w2s_easy,1.0676,97.0
textwriting-w2s_easy,3.142,97.0
textwriting-w2s_easy,4.2072,96.0
textwriting-w2s_easy,5.3693,96.0
textwriting-w2s_easy,7.1964,91.0
textwriting-w2s_easy,9.3472,85.0
textwriting-w2s_hard,1.0136,88.0
textwriting-w2s_hard,1.8404,88.0
textwriting-w2s_hard,2.2862,88.0
textwriting-w2s_hard,2.6938,88.0
textwriting-w2s_hard,3.1612,86.0
textwriting-w2s_hard,3.8922,87.0
textwriting-w2s_medium,1.0138,99.0
textwriting-w2s_medium,2.4616,99.0
textwriting-w2s_medium,3.2712,99.0
textwriting-w2s_medium,4.1785,97.0
textwriting-w2s_medium,5.1867,97.0
textwriting-w2s_medium,6.9045,92.0
waitingline-copy,2.1875,90.0
waitingline-copy,5.6337,90.0
waitingline-copy,10.5474,90.0
waitingline-copy,11.9307,90.0
waitingline-copy,12.1227,90.0
waitingline-copy,12.3253,89.0
waitingline-insert_index,1.4928,69.0
waitingline-insert_index,4.2369,64.0
waitingline-insert_index,6.1743,61.0
waitingline-insert_index,7.5448,57.0
waitingline-insert_index,8.4282,49.0
waitingline-insert_index,9.4573,33.0
waitingline-insert_random,1.2791,77.0
waitingline-insert_random,3.1386,73.0
waitingline-insert_random,4.804,67.0
waitingline-insert_random,6.233,59.0
waitingline-insert_random,7.2503,44.0
waitingline-insert_random,8.5137,37.0
waitingline-remove_index,1.3153,83.0
waitingline-remove_index,4.6805,83.0
waitingline-remove_index,6.9525,80.0
waitingline-remove_index,9.832,79.0
waitingline-remove_index,12.5653,65.0
waitingline-remove_index,13.3173,54.0
waitingline-remove_random,1.3196,87.0
waitingline-remove_random,3.7022,79.0
waitingline-remove_random,5.6288,68.0
waitingline-remove_random,7.5284,47.0
waitingline-remove_random,9.0354,33.0
waitingline-remove_random,10.7253,21.0
waitingline-replace_index,1.4921,69.0
waitingline-replace_index,4.7987,69.0
waitingline-replace_index,7.5251,69.0
waitingline-replace_index,10.4971,56.0
waitingline-replace_index,11.5977,55.0
waitingline-replace_index,12.8587,47.0
waitingline-replace_random,1.2609,91.0
waitingline-replace_random,3.7596,90.0
waitingline-replace_random,5.313,81.0
waitingline-replace_random,7.542,68.0
waitingline-replace_random,9.2765,63.0
waitingline-replace_random,10.6187,51.0
waitingline-reverse,1.5736,85.0
waitingline-reverse,4.3759,78.0
waitingline-reverse,8.1119,60.0
waitingline-reverse,10.3003,44.0
waitingline-reverse,10.7585,37.0
waitingline-reverse,11.2541,22.0
waitingline-shuffle,1.3159,82.0
waitingline-shuffle,2.797,75.0
waitingline-shuffle,3.2404,59.0
waitingline-shuffle,4.0134,36.0
waitingline-shuffle,4.9493,22.0
waitingline-shuffle,6.412,9.0
waitingline-sort,1.1326,29.0
waitingline-sort,3.0338,24.0
waitingline-sort,4.7028,17.0
waitingline-sort,6.2246,10.0
waitingline-sort,7.643,8.0
waitingline-sort,8.6423,4.0
avg,1.3646,77.8403
avg,3.4968,75.5857
avg,5.2908,70.8692
avg,6.926,64.0903
avg,8.2569,58.1482
avg,9.6268,50.5602
