task,tps,accuracy
puzzles-latin_square,1.0,17.0
puzzles-latin_square,2.0,13.0
puzzles-latin_square,4.0,0.0
puzzles-latin_square,8.0,0.0
puzzles-latin_square,16.0,0.0
puzzles-latin_square,32.0,0.0
puzzles-sudoku,1.0,16.0
puzzles-sudoku,2.0,12.0
puzzles-sudoku,4.0,13.0
puzzles-sudoku,8.0,1.0
puzzles-sudoku,16.0,0.0
puzzles-sudoku,32.0,0.0
textwriting-paraphrasing,1.0,80.0
textwriting-paraphrasing,2.0,76.0
textwriting-paraphrasing,4.0,65.0
textwriting-paraphrasing,8.0,32.0
textwriting-paraphrasing,16.0,12.0
textwriting-paraphrasing,32.0,8.0
textwriting-summarization,1.0,89.0
textwriting-summarization,2.0,75.0
textwriting-summarization,4.0,55.00000000000001
textwriting-summarization,8.0,27.0
textwriting-summarization,16.0,10.0
textwriting-summarization,32.0,8.0
textwriting-w2s_easy,1.0,91.0
textwriting-w2s_easy,2.0,80.0
textwriting-w2s_easy,4.0,62.0
textwriting-w2s_easy,8.0,28.999999999999996
textwriting-w2s_easy,16.0,11.0
textwriting-w2s_easy,32.0,11.0
textwriting-w2s_hard,1.0,78.0
textwriting-w2s_hard,2.0,67.0
textwriting-w2s_hard,4.0,24.0
textwriting-w2s_hard,8.0,4.0
textwriting-w2s_hard,16.0,5.0
textwriting-w2s_hard,32.0,7.000000000000001
textwriting-w2s_medium,1.0,92.0
textwriting-w2s_medium,2.0,78.0
textwriting-w2s_medium,4.0,48.0
textwriting-w2s_medium,8.0,10.0
textwriting-w2s_medium,16.0,3.0
textwriting-w2s_medium,32.0,3.0
waitingline-copy,1.0,89.0
waitingline-copy,2.0,89.0
waitingline-copy,4.0,89.0
waitingline-copy,8.0,89.0
waitingline-copy,16.0,89.0
waitingline-copy,32.0,73.0
waitingline-insert_index,1.0,80.0
waitingline-insert_index,2.0,76.0
waitingline-insert_index,4.0,73.0
waitingline-insert_index,8.0,56.99999999999999
waitingline-insert_index,16.0,20.0
waitingline-insert_index,32.0,0.0
waitingline-insert_random,1.0,85.0
waitingline-insert_random,2.0,80.0
waitingline-insert_random,4.0,71.0
waitingline-insert_random,8.0,38.0
waitingline-insert_random,16.0,19.0
waitingline-insert_random,32.0,1.0
waitingline-remove_index,1.0,34.0
waitingline-remove_index,2.0,32.0
waitingline-remove_index,4.0,31.0
waitingline-remove_index,8.0,25.0
waitingline-remove_index,16.0,19.0
waitingline-remove_index,32.0,1.0
waitingline-remove_random,1.0,75.0
waitingline-remove_random,2.0,68.0
waitingline-remove_random,4.0,54.0
waitingline-remove_random,8.0,12.0
waitingline-remove_random,16.0,8.0
waitingline-remove_random,32.0,0.0
waitingline-replace_index,1.0,23.0
waitingline-replace_index,2.0,23.0
waitingline-replace_index,4.0,23.0
waitingline-replace_index,8.0,26.0
waitingline-replace_index,16.0,26.0
waitingline-replace_index,32.0,2.0
waitingline-replace_random,1.0,92.0
waitingline-replace_random,2.0,88.0
waitingline-replace_random,4.0,80.0
waitingline-replace_random,8.0,55.00000000000001
waitingline-replace_random,16.0,45.0
waitingline-replace_random,32.0,7.000000000000001
waitingline-reverse,1.0,86.0
waitingline-reverse,2.0,85.0
waitingline-reverse,4.0,80.0
waitingline-reverse,8.0,77.0
waitingline-reverse,16.0,54.0
waitingline-reverse,32.0,9.0
waitingline-shuffle,1.0,38.0
waitingline-shuffle,2.0,32.0
waitingline-shuffle,4.0,5.0
waitingline-shuffle,8.0,0.0
waitingline-shuffle,16.0,2.0
waitingline-shuffle,32.0,0.0
waitingline-sort,1.0,36.0
waitingline-sort,2.0,33.0
waitingline-sort,4.0,11.0
waitingline-sort,8.0,4.0
waitingline-sort,16.0,7.000000000000001
waitingline-sort,32.0,2.0
avg,1.0,64.76470588235294
avg,2.0,59.23529411764706
avg,4.0,46.11764705882353
avg,8.0,28.58823529411765
avg,16.0,19.41176470588235
avg,32.0,7.764705882352941
