task,tps,accuracy
puzzles-latin_square,1.0,22.0
puzzles-latin_square,2.0,2.0
puzzles-latin_square,4.0,0.0
puzzles-latin_square,8.0,0.0
puzzles-latin_square,16.0,0.0
puzzles-latin_square,32.0,0.0
puzzles-sudoku,1.0,2.0
puzzles-sudoku,2.0,2.0
puzzles-sudoku,4.0,1.0
puzzles-sudoku,8.0,1.0
puzzles-sudoku,16.0,0.0
puzzles-sudoku,32.0,0.0
textwriting-paraphrasing,1.0,71.0
textwriting-paraphrasing,2.0,33.0
textwriting-paraphrasing,4.0,19.0
textwriting-paraphrasing,8.0,7.000000000000001
textwriting-paraphrasing,16.0,5.0
textwriting-paraphrasing,32.0,4.0
textwriting-summarization,1.0,81.0
textwriting-summarization,2.0,35.0
textwriting-summarization,4.0,9.0
textwriting-summarization,8.0,4.0
textwriting-summarization,16.0,8.0
textwriting-summarization,32.0,9.0
textwriting-w2s_easy,1.0,93.0
textwriting-w2s_easy,2.0,37.0
textwriting-w2s_easy,4.0,7.000000000000001
textwriting-w2s_easy,8.0,4.0
textwriting-w2s_easy,16.0,3.0
textwriting-w2s_easy,32.0,3.0
textwriting-w2s_hard,1.0,85.0
textwriting-w2s_hard,2.0,13.0
textwriting-w2s_hard,4.0,1.0
textwriting-w2s_hard,8.0,15.0
textwriting-w2s_hard,16.0,12.0
textwriting-w2s_hard,32.0,6.0
textwriting-w2s_medium,1.0,99.0
textwriting-w2s_medium,2.0,46.0
textwriting-w2s_medium,4.0,3.0
textwriting-w2s_medium,8.0,5.0
textwriting-w2s_medium,16.0,0.0
textwriting-w2s_medium,32.0,3.0
waitingline-copy,1.0,89.0
waitingline-copy,2.0,89.0
waitingline-copy,4.0,85.0
waitingline-copy,8.0,83.0
waitingline-copy,16.0,77.0
waitingline-copy,32.0,73.0
waitingline-insert_index,1.0,69.0
waitingline-insert_index,2.0,55.00000000000001
waitingline-insert_index,4.0,47.0
waitingline-insert_index,8.0,27.0
waitingline-insert_index,16.0,0.0
waitingline-insert_index,32.0,0.0
waitingline-insert_random,1.0,82.0
waitingline-insert_random,2.0,38.0
waitingline-insert_random,4.0,19.0
waitingline-insert_random,8.0,7.000000000000001
waitingline-insert_random,16.0,1.0
waitingline-insert_random,32.0,1.0
waitingline-remove_index,1.0,36.0
waitingline-remove_index,2.0,28.999999999999996
waitingline-remove_index,4.0,26.0
waitingline-remove_index,8.0,15.0
waitingline-remove_index,16.0,1.0
waitingline-remove_index,32.0,1.0
waitingline-remove_random,1.0,68.0
waitingline-remove_random,2.0,34.0
waitingline-remove_random,4.0,22.0
waitingline-remove_random,8.0,4.0
waitingline-remove_random,16.0,0.0
waitingline-remove_random,32.0,0.0
waitingline-replace_index,1.0,27.0
waitingline-replace_index,2.0,23.0
waitingline-replace_index,4.0,27.0
waitingline-replace_index,8.0,16.0
waitingline-replace_index,16.0,3.0
waitingline-replace_index,32.0,2.0
waitingline-replace_random,1.0,89.0
waitingline-replace_random,2.0,38.0
waitingline-replace_random,4.0,34.0
waitingline-replace_random,8.0,24.0
waitingline-replace_random,16.0,7.000000000000001
waitingline-replace_random,32.0,7.000000000000001
waitingline-reverse,1.0,85.0
waitingline-reverse,2.0,79.0
waitingline-reverse,4.0,64.0
waitingline-reverse,8.0,15.0
waitingline-reverse,16.0,9.0
waitingline-reverse,32.0,9.0
waitingline-shuffle,1.0,20.0
waitingline-shuffle,2.0,13.0
waitingline-shuffle,4.0,2.0
waitingline-shuffle,8.0,0.0
waitingline-shuffle,16.0,0.0
waitingline-shuffle,32.0,0.0
waitingline-sort,1.0,23.0
waitingline-sort,2.0,5.0
waitingline-sort,4.0,1.0
waitingline-sort,8.0,2.0
waitingline-sort,16.0,2.0
waitingline-sort,32.0,2.0
avg,1.0,61.23529411764706
avg,2.0,33.588235294117645
avg,4.0,21.58823529411765
avg,8.0,13.470588235294118
avg,16.0,7.529411764705882
avg,32.0,7.0588235294117645
