task,tps,accuracy
puzzles-latin_square,5.699,29.0
puzzles-latin_square,6.8743,19.0
puzzles-latin_square,8.1425,19.0
puzzles-latin_square,8.9888,24.0
puzzles-latin_square,9.6823,13.0
puzzles-sudoku,15.292,82.4074
puzzles-sudoku,16.8998,76.8519
puzzles-sudoku,17.9067,68.5185
puzzles-sudoku,19.2,66.6667
puzzles-sudoku,19.6923,64.8148
textwriting-paraphrasing,6.2257,97.0
textwriting-paraphrasing,7.767,94.0
textwriting-paraphrasing,9.3159,93.0
textwriting-paraphrasing,10.6667,96.0
textwriting-paraphrasing,11.6364,92.0
textwriting-summarization,3.9096,93.0
textwriting-summarization,4.7761,97.0
textwriting-summarization,5.7814,96.0
textwriting-summarization,6.6597,92.0
textwriting-summarization,7.3818,92.0
textwriting-w2s_easy,4.9383,95.0
textwriting-w2s_easy,6.142,94.0
textwriting-w2s_easy,7.2727,90.0
textwriting-w2s_easy,8.7312,88.0
textwriting-w2s_easy,9.831,90.0
textwriting-w2s_hard,2.3005,94.0
textwriting-w2s_hard,2.6789,92.0
textwriting-w2s_hard,3.2177,90.0
textwriting-w2s_hard,3.9628,84.0
textwriting-w2s_hard,4.8375,70.0
textwriting-w2s_medium,3.6343,97.0
textwriting-w2s_medium,4.4568,92.0
textwriting-w2s_medium,5.3601,95.0
textwriting-w2s_medium,6.5507,83.0
textwriting-w2s_medium,7.4246,81.0
waitingline-copy,26.2295,100.0
waitingline-copy,29.9065,100.0
waitingline-copy,30.7692,100.0
waitingline-copy,31.3725,100.0
waitingline-copy,31.6832,100.0
waitingline-insert_index,12.8,50.0
waitingline-insert_index,13.4454,48.0
waitingline-insert_index,14.2857,47.0
waitingline-insert_index,14.8148,44.0
waitingline-insert_index,15.8416,43.0
waitingline-insert_random,6.8966,75.0
waitingline-insert_random,7.8431,71.0
waitingline-insert_random,8.6957,69.0
waitingline-insert_random,9.1954,57.0
waitingline-insert_random,9.816,52.0
waitingline-remove_index,20.1258,54.0
waitingline-remove_index,20.915,53.0
waitingline-remove_index,22.2222,54.0
waitingline-remove_index,22.8571,55.0
waitingline-remove_index,23.0216,55.0
waitingline-remove_random,8.5333,80.0
waitingline-remove_random,9.6386,72.0
waitingline-remove_random,10.596,77.0
waitingline-remove_random,11.3879,78.0
waitingline-remove_random,12.0755,75.0
waitingline-replace_index,18.9349,32.0
waitingline-replace_index,19.7531,32.0
waitingline-replace_index,20.0,32.0
waitingline-replace_index,20.5128,32.0
waitingline-replace_index,21.1921,32.0
waitingline-replace_random,8.5333,96.0
waitingline-replace_random,9.6386,84.0
waitingline-replace_random,10.2894,77.0
waitingline-replace_random,10.7744,69.0
waitingline-replace_random,11.3879,70.0
waitingline-reverse,13.913,86.0
waitingline-reverse,14.4796,84.0
waitingline-reverse,14.8148,82.0
waitingline-reverse,15.3846,83.0
waitingline-reverse,15.8416,81.0
waitingline-shuffle,4.2838,70.0
waitingline-shuffle,4.9155,51.0
waitingline-shuffle,5.7658,33.0
waitingline-shuffle,6.6253,18.0
waitingline-shuffle,7.4074,12.0
waitingline-sort,5.9259,22.0
waitingline-sort,6.823,20.0
waitingline-sort,7.767,17.0
waitingline-sort,8.3117,12.0
waitingline-sort,9.0652,11.0
avg,9.8927,73.671
avg,10.9973,69.4031
avg,11.8943,67.0305
avg,12.7057,63.6275
avg,13.4011,60.8126
