task,tps,accuracy
puzzles-latin_square,1.6293,42.0
puzzles-latin_square,4.3449,37.0
puzzles-latin_square,6.5641,28.0
puzzles-latin_square,9.1559,8.0
puzzles-latin_square,11.4901,3.0
puzzles-latin_square,13.9738,0.0
puzzles-sudoku,2.9922,95.3704
puzzles-sudoku,15.6027,87.963
puzzles-sudoku,21.6677,68.5185
puzzles-sudoku,23.917,44.4444
puzzles-sudoku,25.6,27.7778
puzzles-sudoku,29.5385,10.1852
textwriting-paraphrasing,1.9185,95.0
textwriting-paraphrasing,4.9574,96.0
textwriting-paraphrasing,6.8303,97.0
textwriting-paraphrasing,9.4955,94.0
textwriting-paraphrasing,12.1905,88.0
textwriting-paraphrasing,16.1616,82.0
textwriting-summarization,1.2078,97.0
textwriting-summarization,2.963,96.0
textwriting-summarization,4.4755,96.0
textwriting-summarization,6.3809,95.0
textwriting-summarization,8.5906,92.0
textwriting-summarization,12.4514,80.0
textwriting-w2s_easy,1.8801,99.0
textwriting-w2s_easy,4.0328,99.0
textwriting-w2s_easy,5.3467,97.0
textwriting-w2s_easy,7.4419,93.0
textwriting-w2s_easy,10.2564,90.0
textwriting-w2s_easy,13.9738,76.0
textwriting-w2s_hard,1.1861,99.0
textwriting-w2s_hard,2.0202,99.0
textwriting-w2s_hard,2.3625,96.0
textwriting-w2s_hard,2.8331,93.0
textwriting-w2s_hard,3.5975,79.0
textwriting-w2s_hard,4.9805,66.0
textwriting-w2s_medium,1.5956,99.0
textwriting-w2s_medium,3.1053,99.0
textwriting-w2s_medium,3.8577,99.0
textwriting-w2s_medium,5.0117,94.0
textwriting-w2s_medium,6.6459,90.0
textwriting-w2s_medium,9.0523,78.0
waitingline-copy,14.1593,100.0
waitingline-copy,31.068,100.0
waitingline-copy,31.6832,100.0
waitingline-copy,32.0,100.0
waitingline-insert_index,4.4568,53.0
waitingline-insert_index,13.1148,43.0
waitingline-insert_index,14.1593,35.0
waitingline-insert_index,16.0,33.0
waitingline-insert_index,17.6796,28.0
waitingline-insert_index,20.2532,24.0
waitingline-insert_random,1.3372,79.0
waitingline-insert_random,6.5306,79.0
waitingline-insert_random,8.7432,52.0
waitingline-insert_random,9.9379,29.0
waitingline-insert_random,11.8519,17.0
waitingline-insert_random,13.278,4.0
waitingline-remove_index,7.0022,54.0
waitingline-remove_index,22.2222,56.0
waitingline-remove_index,24.8062,54.0
waitingline-remove_index,26.6667,54.0
waitingline-remove_index,28.3186,53.0
waitingline-remove_index,30.4762,52.0
waitingline-remove_random,1.8681,97.0
waitingline-remove_random,7.4941,98.0
waitingline-remove_random,10.2236,92.0
waitingline-remove_random,13.3891,84.0
waitingline-remove_random,15.1659,60.0
waitingline-remove_random,18.3908,43.0
waitingline-replace_index,8.5106,31.0
waitingline-replace_index,20.3822,33.0
waitingline-replace_index,22.2222,34.0
waitingline-replace_index,25.0,33.0
waitingline-replace_index,26.0163,32.0
waitingline-replace_index,29.3578,28.0
waitingline-replace_random,1.7544,100.0
waitingline-replace_random,8.1841,91.0
waitingline-replace_random,10.596,80.0
waitingline-replace_random,13.0081,60.0
waitingline-replace_random,15.1659,34.0
waitingline-replace_random,17.2043,19.0
waitingline-reverse,5.6239,99.0
waitingline-reverse,13.913,82.0
waitingline-reverse,15.6098,67.0
waitingline-reverse,16.6667,59.0
waitingline-reverse,17.5824,49.0
waitingline-reverse,21.0526,44.0
waitingline-shuffle,2.0942,99.0
waitingline-shuffle,3.8186,75.0
waitingline-shuffle,4.463,60.0
waitingline-shuffle,5.4054,26.0
waitingline-shuffle,7.2072,12.0
waitingline-shuffle,10.4575,5.0
waitingline-sort,2.1094,35.0
waitingline-sort,4.893,24.0
waitingline-sort,6.2745,18.0
waitingline-sort,7.9404,9.0
waitingline-sort,9.6677,2.0
waitingline-sort,12.2605,2.0
avg,3.6074,80.7865
avg,9.9204,76.1743
avg,11.758,69.0305
avg,13.5441,59.3203
