task,tps,accuracy
puzzles-latin_square,4.769,10.0
puzzles-latin_square,6.0779,12.0
puzzles-latin_square,7.3059,12.0
puzzles-latin_square,8.2262,12.0
puzzles-latin_square,9.3842,8.0
puzzles-sudoku,6.0314,3.7037
puzzles-sudoku,7.9723,3.7037
puzzles-sudoku,9.8602,2.7778
puzzles-sudoku,12.0,5.5556
puzzles-sudoku,13.4214,2.7778
textwriting-paraphrasing,5.41,93.0
textwriting-paraphrasing,6.8966,98.0
textwriting-paraphrasing,8.091,98.0
textwriting-paraphrasing,9.3567,95.0
textwriting-paraphrasing,10.3393,94.0
textwriting-summarization,3.9604,99.0
textwriting-summarization,4.9961,90.0
textwriting-summarization,5.9369,91.0
textwriting-summarization,6.5844,86.0
textwriting-summarization,7.281,88.0
textwriting-w2s_easy,4.3956,93.0
textwriting-w2s_easy,5.3467,94.0
textwriting-w2s_easy,6.3304,91.0
textwriting-w2s_easy,7.2398,91.0
textwriting-w2s_easy,8.0,80.0
textwriting-w2s_hard,2.397,96.0
textwriting-w2s_hard,2.8319,97.0
textwriting-w2s_hard,3.4061,88.0
textwriting-w2s_hard,3.9776,86.0
textwriting-w2s_hard,4.5198,82.0
textwriting-w2s_medium,3.2048,94.0
textwriting-w2s_medium,3.8186,94.0
textwriting-w2s_medium,4.5519,87.0
textwriting-w2s_medium,5.3024,87.0
textwriting-w2s_medium,6.0038,88.0
waitingline-copy,17.5824,100.0
waitingline-copy,18.8235,100.0
waitingline-copy,19.8758,100.0
waitingline-copy,20.7792,100.0
waitingline-copy,21.6216,100.0
waitingline-insert_index,10.7383,60.0
waitingline-insert_index,11.3879,57.0
waitingline-insert_index,12.0301,56.0
waitingline-insert_index,12.5,54.0
waitingline-insert_index,12.6482,55.0
waitingline-insert_random,6.2257,94.0
waitingline-insert_random,7.2072,83.0
waitingline-insert_random,7.8818,84.0
waitingline-insert_random,8.3117,73.0
waitingline-insert_random,8.6486,63.0
waitingline-remove_index,10.9589,45.0
waitingline-remove_index,12.1212,47.0
waitingline-remove_index,12.549,45.0
waitingline-remove_index,13.2231,48.0
waitingline-remove_index,13.5021,47.0
waitingline-remove_random,7.3227,76.0
waitingline-remove_random,8.1425,76.0
waitingline-remove_random,9.0909,71.0
waitingline-remove_random,9.7859,74.0
waitingline-remove_random,10.356,73.0
waitingline-replace_index,13.6752,46.0
waitingline-replace_index,14.3498,48.0
waitingline-replace_index,14.8148,49.0
waitingline-replace_index,15.2381,49.0
waitingline-replace_index,15.3846,50.0
waitingline-replace_random,7.5472,85.0
waitingline-replace_random,8.6486,86.0
waitingline-replace_random,9.5238,73.0
waitingline-replace_random,10.0946,72.0
waitingline-replace_random,10.7023,69.0
waitingline-reverse,15.3846,98.0
waitingline-reverse,15.6098,98.0
waitingline-reverse,15.6863,95.0
waitingline-reverse,15.7635,91.0
waitingline-reverse,16.1616,91.0
waitingline-shuffle,4.2497,80.0
waitingline-shuffle,5.1282,63.0
waitingline-shuffle,6.0606,45.0
waitingline-shuffle,6.867,33.0
waitingline-shuffle,7.6739,21.0
waitingline-sort,7.3903,31.0
waitingline-sort,8.377,31.0
waitingline-sort,9.1168,28.0
waitingline-sort,9.8462,25.0
waitingline-sort,10.4575,26.0
avg,7.7202,70.8061
avg,8.6903,69.2767
avg,9.536,65.634
avg,10.2998,63.6209
avg,10.9474,61.0458
