task,tps,accuracy
puzzles-latin_square,1.4932,8.0
puzzles-latin_square,3.4206,13.0
puzzles-latin_square,5.522,14.0
puzzles-latin_square,8.7671,12.0
puzzles-latin_square,11.5942,5.0
puzzles-latin_square,14.5786,0.0
puzzles-sudoku,1.9873,7.4074
puzzles-sudoku,4.6452,5.5556
puzzles-sudoku,7.8904,3.7037
puzzles-sudoku,16.5755,1.8519
puzzles-sudoku,22.0831,1.8519
puzzles-sudoku,27.0,1.8519
textwriting-paraphrasing,1.7391,70.0
textwriting-paraphrasing,4.0075,87.0
textwriting-paraphrasing,5.7194,95.0
textwriting-paraphrasing,7.9602,95.0
textwriting-paraphrasing,11.1111,85.0
textwriting-paraphrasing,15.8416,74.0
textwriting-summarization,1.1046,88.0
textwriting-summarization,2.8095,98.0
textwriting-summarization,4.4199,96.0
textwriting-summarization,6.2684,90.0
textwriting-summarization,8.5447,87.0
textwriting-summarization,11.5942,72.0
textwriting-w2s_easy,1.4599,99.0
textwriting-w2s_easy,3.3316,100.0
textwriting-w2s_easy,4.5911,98.0
textwriting-w2s_easy,6.2196,95.0
textwriting-w2s_easy,8.4544,86.0
textwriting-w2s_easy,11.5108,75.0
textwriting-w2s_hard,1.0774,99.0
textwriting-w2s_hard,1.9382,98.0
textwriting-w2s_hard,2.4578,97.0
textwriting-w2s_hard,3.1113,96.0
textwriting-w2s_hard,3.9264,88.0
textwriting-w2s_hard,5.1948,75.0
textwriting-w2s_medium,1.2821,99.0
textwriting-w2s_medium,2.5347,100.0
textwriting-w2s_medium,3.3281,99.0
textwriting-w2s_medium,4.2161,97.0
textwriting-w2s_medium,5.5363,92.0
textwriting-w2s_medium,7.6647,80.0
waitingline-copy,6.9717,100.0
waitingline-copy,16.2437,100.0
waitingline-copy,20.915,100.0
waitingline-copy,26.6667,100.0
waitingline-copy,31.068,100.0
waitingline-copy,31.6832,100.0
waitingline-insert_index,2.3774,60.0
waitingline-insert_index,9.816,56.0
waitingline-insert_index,11.6364,54.0
waitingline-insert_index,12.749,42.0
waitingline-insert_index,14.4796,37.0
waitingline-insert_index,17.2043,31.0
waitingline-insert_random,1.3051,99.0
waitingline-insert_random,5.8608,94.0
waitingline-insert_random,7.1111,66.0
waitingline-insert_random,8.6486,51.0
waitingline-insert_random,10.4918,30.0
waitingline-insert_random,12.9032,15.0
waitingline-remove_index,2.1025,45.0
waitingline-remove_index,10.4235,50.0
waitingline-remove_index,12.549,44.0
waitingline-remove_index,14.2857,37.0
waitingline-remove_index,16.2437,28.0
waitingline-remove_index,18.9349,27.0
waitingline-remove_random,1.1236,58.0
waitingline-remove_random,6.2257,78.0
waitingline-remove_random,8.2474,57.0
waitingline-remove_random,11.1888,54.0
waitingline-remove_random,13.278,47.0
waitingline-remove_random,15.0235,24.0
waitingline-replace_index,3.8005,44.0
waitingline-replace_index,13.617,52.0
waitingline-replace_index,15.6863,52.0
waitingline-replace_index,16.9312,50.0
waitingline-replace_index,18.8235,43.0
waitingline-replace_index,21.9178,39.0
waitingline-replace_random,1.3104,98.0
waitingline-replace_random,7.767,91.0
waitingline-replace_random,10.5611,72.0
waitingline-replace_random,13.0081,50.0
waitingline-replace_random,14.4796,38.0
waitingline-replace_random,16.4103,21.0
waitingline-reverse,4.4444,100.0
waitingline-reverse,15.0943,70.0
waitingline-reverse,15.3846,86.0
waitingline-reverse,16.2437,55.0
waitingline-reverse,17.5824,41.0
waitingline-reverse,19.0476,34.0
waitingline-shuffle,1.6798,100.0
waitingline-shuffle,3.9024,93.0
waitingline-shuffle,4.8855,64.0
waitingline-shuffle,7.3394,36.0
waitingline-shuffle,9.4675,16.0
waitingline-shuffle,12.3552,6.0
waitingline-sort,1.4279,34.0
waitingline-sort,7.2398,32.0
waitingline-sort,9.3842,22.0
waitingline-sort,10.4918,15.0
waitingline-sort,11.5942,8.0
waitingline-sort,14.6119,4.0
avg,2.1581,71.0828
avg,6.9928,71.6209
avg,8.8405,65.8649
avg,11.216,57.4619
avg,13.4564,48.9913
avg,16.0869,39.9325
