task,tps,accuracy
puzzles-latin_square,6.4193,47.0
puzzles-latin_square,6.7156,42.0
puzzles-latin_square,7.1829,36.0
puzzles-latin_square,7.6831,30.0
puzzles-latin_square,8.41,22.0
puzzles-latin_square,9.4118,19.0
puzzles-latin_square,10.0471,18.0
puzzles-latin_square,10.5263,11.0
puzzles-sudoku,10.301,25.9259
puzzles-sudoku,11.1484,25.9259
puzzles-sudoku,12.0628,20.3704
puzzles-sudoku,14.6752,15.7407
puzzles-sudoku,18.3342,10.1852
puzzles-sudoku,21.1376,8.3333
puzzles-sudoku,24.8633,7.4074
puzzles-sudoku,33.3913,3.7037
textwriting-paraphrasing,11.5523,98.0
textwriting-paraphrasing,11.7002,98.0
textwriting-paraphrasing,12.1442,98.0
textwriting-paraphrasing,12.3314,98.0
textwriting-paraphrasing,12.549,98.0
textwriting-paraphrasing,12.6233,98.0
textwriting-paraphrasing,13.3612,99.0
textwriting-paraphrasing,14.9184,93.0
textwriting-summarization,4.2384,97.0
textwriting-summarization,4.4568,98.0
textwriting-summarization,4.6478,96.0
textwriting-summarization,5.0433,95.0
textwriting-summarization,5.6239,96.0
textwriting-summarization,5.9041,95.0
textwriting-summarization,6.5641,93.0
textwriting-summarization,7.0718,86.0
textwriting-w2s_easy,8.2368,98.0
textwriting-w2s_easy,8.522,98.0
textwriting-w2s_easy,8.8766,99.0
textwriting-w2s_easy,9.0909,98.0
textwriting-w2s_easy,9.7859,97.0
textwriting-w2s_easy,10.0946,95.0
textwriting-w2s_easy,10.509,94.0
textwriting-w2s_easy,11.2084,80.0
textwriting-w2s_hard,3.5437,99.0
textwriting-w2s_hard,3.7101,100.0
textwriting-w2s_hard,3.7825,99.0
textwriting-w2s_hard,3.8209,100.0
textwriting-w2s_hard,4.0252,100.0
textwriting-w2s_hard,4.339,88.0
textwriting-w2s_hard,4.7302,66.0
textwriting-w2s_hard,5.9259,26.0
textwriting-w2s_medium,5.8932,100.0
textwriting-w2s_medium,6.1244,100.0
textwriting-w2s_medium,6.1896,99.0
textwriting-w2s_medium,6.2196,98.0
textwriting-w2s_medium,6.5844,97.0
textwriting-w2s_medium,7.0175,96.0
textwriting-w2s_medium,7.3143,84.0
textwriting-w2s_medium,8.3879,51.0
waitingline-copy,15.9204,100.0
waitingline-copy,16.8421,100.0
waitingline-copy,31.6832,100.0
waitingline-insert_index,8.8643,51.0
waitingline-insert_index,9.2486,52.0
waitingline-insert_index,10.0946,53.0
waitingline-insert_index,16.0,53.0
waitingline-insert_index,16.8421,54.0
waitingline-insert_index,17.1123,53.5
waitingline-insert_index,17.8771,47.0
waitingline-insert_random,6.0038,95.0
waitingline-insert_random,6.1185,92.0
waitingline-insert_random,6.5173,92.0
waitingline-insert_random,7.8818,91.0
waitingline-insert_random,8.2902,89.0
waitingline-insert_random,8.5561,90.0
waitingline-insert_random,9.0652,73.0
waitingline-insert_random,9.1168,89.0
waitingline-remove_index,10.7023,57.0
waitingline-remove_index,12.3077,57.0
waitingline-remove_index,13.0612,56.0
waitingline-remove_index,25.0,56.0
waitingline-remove_index,27.1186,56.0
waitingline-remove_index,27.8261,55.0
waitingline-remove_index,28.3186,55.0
waitingline-remove_index,28.8288,54.0
waitingline-remove_random,7.601,87.0
waitingline-remove_random,7.7295,88.0
waitingline-remove_random,7.824,88.0
waitingline-remove_random,10.5263,88.0
waitingline-remove_random,10.7023,89.0
waitingline-remove_random,11.1498,89.0
waitingline-remove_random,11.8959,87.0
waitingline-remove_random,13.0612,89.0
waitingline-replace_index,8.6721,29.0
waitingline-replace_index,9.3842,30.0
waitingline-replace_index,10.356,31.0
waitingline-replace_index,17.9775,30.0
waitingline-replace_index,20.915,31.0
waitingline-replace_index,21.6216,33.0
waitingline-replace_index,22.5352,34.0
waitingline-replace_index,25.6,30.0
waitingline-replace_random,6.7227,94.0
waitingline-replace_random,6.9414,95.0
waitingline-replace_random,7.3394,95.0
waitingline-replace_random,9.4675,95.0
waitingline-replace_random,9.7859,95.0
waitingline-replace_random,10.0629,95.0
waitingline-replace_random,10.5611,91.0
waitingline-replace_random,11.3879,82.0
waitingline-reverse,8.399,92.0
waitingline-reverse,9.2754,91.0
waitingline-reverse,9.8462,90.0
waitingline-reverse,14.9533,86.0
waitingline-reverse,16.1616,84.0
waitingline-reverse,16.7539,84.0
waitingline-reverse,17.1123,82.0
waitingline-reverse,17.6796,78.0
waitingline-shuffle,4.3656,99.0
waitingline-shuffle,4.4818,99.0
waitingline-shuffle,4.812,99.0
waitingline-shuffle,5.6838,99.0
waitingline-shuffle,5.9925,99.0
waitingline-shuffle,6.2745,98.0
waitingline-shuffle,6.5708,95.0
waitingline-shuffle,7.191,77.0
waitingline-sort,5.1118,35.0
waitingline-sort,5.3333,35.0
waitingline-sort,5.4889,36.0
waitingline-sort,6.7797,36.0
waitingline-sort,6.8966,36.0
waitingline-sort,7.2072,33.0
waitingline-sort,7.3059,27.0
waitingline-sort,7.5472,23.0
avg,7.7969,76.7015
avg,8.2376,76.5251
avg,9.5241,75.7277
