task,tps,accuracy
puzzles-latin_square,1.1356,40.0
puzzles-latin_square,1.1509,41.0
puzzles-latin_square,1.2483,32.0
puzzles-latin_square,2.0138,31.0
puzzles-latin_square,2.8144,25.0
puzzles-latin_square,4.4599,15.0
puzzles-latin_square,30.3318,0.0
puzzles-sudoku,1.1893,96.2963
puzzles-sudoku,1.195,95.3704
puzzles-sudoku,1.301,94.4444
puzzles-sudoku,1.9873,94.4444
puzzles-sudoku,2.717,92.5926
puzzles-sudoku,4.4025,93.5185
puzzles-sudoku,11.1304,71.2963
textwriting-paraphrasing,1.0057,86.0
textwriting-paraphrasing,1.0063,86.0
textwriting-paraphrasing,1.0103,86.0
textwriting-paraphrasing,1.0899,87.0
textwriting-paraphrasing,1.4356,85.0
textwriting-paraphrasing,2.7199,76.0
textwriting-paraphrasing,11.6152,26.0
textwriting-summarization,1.0017,98.0
textwriting-summarization,1.0017,98.0
textwriting-summarization,1.0025,98.0
textwriting-summarization,1.057,97.0
textwriting-summarization,1.2821,95.0
textwriting-summarization,2.4115,81.0
textwriting-summarization,11.7864,41.0
textwriting-w2s_easy,1.0201,100.0
textwriting-w2s_easy,1.0207,100.0
textwriting-w2s_easy,1.0359,100.0
textwriting-w2s_easy,1.1722,94.0
textwriting-w2s_easy,1.7882,76.0
textwriting-w2s_easy,4.3302,35.0
textwriting-w2s_easy,16.0804,10.0
textwriting-w2s_hard,1.0003,99.0
textwriting-w2s_hard,1.0003,99.0
textwriting-w2s_hard,1.0008,99.0
textwriting-w2s_hard,1.0299,95.0
textwriting-w2s_hard,1.219,75.0
textwriting-w2s_hard,2.1578,22.0
textwriting-w2s_hard,11.4901,0.0
textwriting-w2s_medium,1.013,98.0
textwriting-w2s_medium,1.0144,98.0
textwriting-w2s_medium,1.0224,96.0
textwriting-w2s_medium,1.1248,93.0
textwriting-w2s_medium,1.6097,63.0
textwriting-w2s_medium,3.5457,21.0
textwriting-w2s_medium,14.8492,0.0
waitingline-copy,1.0041,100.0
waitingline-copy,1.0044,100.0
waitingline-copy,1.012,100.0
waitingline-copy,1.476,100.0
waitingline-copy,2.9712,100.0
waitingline-copy,5.8076,100.0
waitingline-copy,27.1186,100.0
waitingline-insert_index,1.0,53.0
waitingline-insert_index,1.0,53.0
waitingline-insert_index,1.0,53.0
waitingline-insert_index,1.1004,53.0
waitingline-insert_index,2.6359,53.0
waitingline-insert_index,4.3069,49.0
waitingline-insert_index,22.2222,29.0
waitingline-insert_random,1.0,95.0
waitingline-insert_random,1.0,95.0
waitingline-insert_random,1.0,95.0
waitingline-insert_random,1.0464,93.0
waitingline-insert_random,2.5723,81.0
waitingline-insert_random,4.194,66.0
waitingline-insert_random,24.2424,0.0
waitingline-remove_index,1.0,54.0
waitingline-remove_index,1.0,54.0
waitingline-remove_index,1.0,54.0
waitingline-remove_index,1.1936,54.0
waitingline-remove_index,2.4615,53.0
waitingline-remove_index,3.9506,54.0
waitingline-remove_index,20.3822,51.0
waitingline-remove_random,1.0,99.0
waitingline-remove_random,1.0,99.0
waitingline-remove_random,1.0,99.0
waitingline-remove_random,1.0495,97.0
waitingline-remove_random,3.4372,82.0
waitingline-remove_random,4.9155,66.0
waitingline-remove_random,30.4762,18.0
waitingline-replace_index,1.0,27.0
waitingline-replace_index,1.0,27.0
waitingline-replace_index,1.0,27.0
waitingline-replace_index,1.1343,27.0
waitingline-replace_index,2.3721,26.0
waitingline-replace_index,4.2781,25.0
waitingline-replace_index,21.6216,29.0
waitingline-replace_random,1.0,99.0
waitingline-replace_random,1.0,99.0
waitingline-replace_random,1.0,99.0
waitingline-replace_random,1.0492,99.0
waitingline-replace_random,2.9851,85.0
waitingline-replace_random,5.1364,62.0
waitingline-replace_random,24.6154,11.0
waitingline-reverse,1.0,100.0
waitingline-reverse,1.0,100.0
waitingline-reverse,1.0,100.0
waitingline-reverse,1.2658,100.0
waitingline-reverse,3.4858,100.0
waitingline-reverse,5.2545,97.0
waitingline-reverse,29.3578,40.0
waitingline-shuffle,1.0006,98.0
waitingline-shuffle,1.0006,98.0
waitingline-shuffle,1.0175,91.0
waitingline-shuffle,1.7837,37.0
waitingline-shuffle,3.2686,19.0
waitingline-shuffle,4.7059,4.0
waitingline-shuffle,16.4103,7.0
waitingline-sort,1.0,36.0
waitingline-sort,1.0,36.0
waitingline-sort,1.0,36.0
waitingline-sort,1.0363,34.0
waitingline-sort,2.6778,25.0
waitingline-sort,4.9383,9.0
waitingline-sort,18.9349,0.0
avg,1.0218,81.0763
avg,1.0232,81.0806
avg,1.0383,79.9673
avg,1.2712,75.6144
avg,2.4549,66.7996
avg,4.2068,51.5011
avg,20.1568,25.488
