task,tps,accuracy
puzzles-latin_square,2.7419895368636786,27.0
puzzles-latin_square,3.348331855279225,18.0
puzzles-latin_square,4.37638784744667,13.0
puzzles-latin_square,5.240320568320568,10.0
puzzles-latin_square,6.210299922299922,5.0
puzzles-sudoku,6.667415547415545,93.0
puzzles-sudoku,7.70752978703443,91.0
puzzles-sudoku,9.565772893772893,91.0
puzzles-sudoku,10.267076923076923,87.0
puzzles-sudoku,11.210989898989897,85.0
textwriting-paraphrasing,2.3138247955332716,83.0
textwriting-paraphrasing,2.6213715460418916,85.0
textwriting-paraphrasing,3.0871465014496113,88.0
textwriting-paraphrasing,4.000072017096991,91.0
textwriting-paraphrasing,4.867661819661818,94.0
textwriting-summarization,1.8287981958630894,96.0
textwriting-summarization,2.1497351410804093,94.0
textwriting-summarization,2.581641433464331,94.0
textwriting-summarization,3.1849934259429005,94.0
textwriting-summarization,3.7551983112493565,91.0
textwriting-w2s_easy,2.309207675647304,98.0
textwriting-w2s_easy,2.5305000012041345,98.0
textwriting-w2s_easy,2.8299006244118816,98.0
textwriting-w2s_easy,3.2986904264179797,95.0
textwriting-w2s_easy,4.025823177895973,91.0
textwriting-w2s_hard,1.7053369188106027,90.0
textwriting-w2s_hard,1.8337773461872138,91.0
textwriting-w2s_hard,1.9963585434173665,88.0
textwriting-w2s_hard,2.281276233756768,88.0
textwriting-w2s_hard,2.610505289879203,72.0
textwriting-w2s_medium,2.311556694377747,95.0
textwriting-w2s_medium,2.525316362663908,95.0
textwriting-w2s_medium,2.799095630188566,96.0
textwriting-w2s_medium,3.2469134626410168,97.0
textwriting-w2s_medium,3.8649387659946273,91.0
waitingline-copy,11.053714285714285,100.0
waitingline-copy,11.829333333333334,100.0
waitingline-copy,12.608000000000002,100.0
waitingline-copy,13.013333333333335,100.0
waitingline-copy,14.373333333333335,100.0
waitingline-insert_index,4.270025974025974,83.0
waitingline-insert_index,4.8637691197691195,82.0
waitingline-insert_index,5.608507936507936,80.0
waitingline-insert_index,6.405714285714287,82.0
waitingline-insert_index,6.887619047619047,78.0
waitingline-insert_random,4.593558441558442,86.0
waitingline-insert_random,5.208796536796537,78.0
waitingline-insert_random,6.0403809523809535,76.0
waitingline-insert_random,6.928761904761906,70.0
waitingline-insert_random,7.370666666666666,59.0
waitingline-remove_index,11.406476190476189,86.0
waitingline-remove_index,12.101333333333335,88.0
waitingline-remove_index,12.917333333333335,88.0
waitingline-remove_index,13.22666666666667,88.0
waitingline-remove_index,14.133333333333335,89.0
waitingline-remove_random,5.729523809523809,78.0
waitingline-remove_random,6.821333333333334,73.0
waitingline-remove_random,7.781333333333333,74.0
waitingline-remove_random,8.533333333333333,75.0
waitingline-remove_random,9.786666666666667,76.0
waitingline-replace_index,4.665939393939394,100.0
waitingline-replace_index,5.402793650793651,100.0
waitingline-replace_index,6.113777777777777,99.0
waitingline-replace_index,6.914666666666667,99.0
waitingline-replace_index,7.496380952380953,98.0
waitingline-replace_random,5.611047619047619,95.0
waitingline-replace_random,6.323428571428572,87.0
waitingline-replace_random,7.075809523809526,84.0
waitingline-replace_random,8.08,78.0
waitingline-replace_random,8.570666666666666,66.0
