task,tps,accuracy
puzzles-latin_square,1.2929232352485704,47.0
puzzles-latin_square,2.3109656187787966,46.0
puzzles-latin_square,2.7917740793401493,28.999999999999996
puzzles-latin_square,3.5333162771181343,22.0
puzzles-latin_square,5.3051250971250985,5.0
puzzles-latin_square,8.40955844155844,0.0
puzzles-sudoku,1.8563652765914174,96.0
puzzles-sudoku,5.58783657882924,95.0
puzzles-sudoku,8.050590476190473,90.0
puzzles-sudoku,10.796992481203011,70.0
puzzles-sudoku,14.108849372849372,54.0
puzzles-sudoku,16.30019047619048,31.0
textwriting-paraphrasing,1.1798928688029946,83.0
textwriting-paraphrasing,2.0702312620263292,83.0
textwriting-paraphrasing,2.4144232767214153,83.0
textwriting-paraphrasing,2.8651951851951845,84.0
textwriting-paraphrasing,3.4348036870295107,83.0
textwriting-paraphrasing,4.903925213033529,85.0
textwriting-summarization,1.041309537420833,96.0
textwriting-summarization,1.525038576803447,96.0
textwriting-summarization,1.8247614458046317,97.0
textwriting-summarization,2.2466176367352837,98.0
textwriting-summarization,2.775441208208378,97.0
textwriting-summarization,3.8552618260853553,95.0
textwriting-w2s_easy,1.31618520178797,100.0
textwriting-w2s_easy,2.281950367351456,100.0
textwriting-w2s_easy,2.5060273234963772,100.0
textwriting-w2s_easy,2.716392480026295,100.0
textwriting-w2s_easy,3.028076185023211,100.0
textwriting-w2s_easy,3.6940297833573372,90.0
textwriting-w2s_hard,1.0383875067987676,98.0
textwriting-w2s_hard,1.6321942465819228,98.0
textwriting-w2s_hard,1.7737928024986855,97.0
textwriting-w2s_hard,1.9192719715452162,96.0
textwriting-w2s_hard,2.1032753931540817,93.0
textwriting-w2s_hard,2.3883799306695854,83.0
textwriting-w2s_medium,1.3160256070494238,100.0
textwriting-w2s_medium,2.291701320626184,100.0
textwriting-w2s_medium,2.516752864407084,100.0
textwriting-w2s_medium,2.710720377230662,100.0
textwriting-w2s_medium,2.981906275834693,98.0
textwriting-w2s_medium,3.604538352416989,96.0
waitingline-copy,2.542527242127373,100.0
waitingline-copy,10.793523809523808,100.0
waitingline-copy,15.045333333333337,100.0
waitingline-copy,17.802666666666667,100.0
waitingline-copy,19.098666666666666,100.0
waitingline-copy,22.879999999999995,100.0
waitingline-insert_index,1.1191411750524214,85.0
waitingline-insert_index,3.4005132645132643,89.0
waitingline-insert_index,4.4963534243534236,81.0
waitingline-insert_index,5.479145743145743,71.0
waitingline-insert_index,7.090539682539682,66.0
waitingline-insert_index,8.310857142857142,53.0
waitingline-insert_random,1.0869747734900124,98.0
waitingline-insert_random,3.638747918747918,98.0
waitingline-insert_random,5.151002775002775,71.0
waitingline-insert_random,6.733344877344877,37.0
waitingline-insert_random,8.474285714285713,27.0
waitingline-insert_random,9.317333333333332,14.000000000000002
waitingline-remove_index,2.527446040348062,88.0
waitingline-remove_index,10.712507936507937,89.0
waitingline-remove_index,14.42666666666667,85.0
waitingline-remove_index,17.616,84.0
waitingline-remove_index,19.024,83.0
waitingline-remove_index,23.57333333333333,81.0
waitingline-remove_random,1.356488971730177,100.0
waitingline-remove_random,4.766984126984126,99.0
waitingline-remove_random,6.40304761904762,98.0
waitingline-remove_random,9.04,84.0
waitingline-remove_random,10.442666666666666,72.0
waitingline-remove_random,14.88,56.00000000000001
waitingline-replace_index,1.0939238014795885,100.0
waitingline-replace_index,3.5986173826173826,100.0
waitingline-replace_index,5.351164391164393,100.0
waitingline-replace_index,6.460582972582972,99.0
waitingline-replace_index,8.16774603174603,96.0
waitingline-replace_index,9.306666666666667,94.0
waitingline-replace_random,1.1974119796920033,100.0
waitingline-replace_random,4.716467532467532,96.0
waitingline-replace_random,6.853079365079366,78.0
waitingline-replace_random,9.030857142857142,69.0
waitingline-replace_random,10.531809523809525,49.0
waitingline-replace_random,11.57866666666667,23.0
waitingline-reverse,1.5992306533049565,100.0
waitingline-reverse,4.263047619047619,80.0
waitingline-reverse,5.9033357753357745,74.0
waitingline-reverse,6.969189033189033,65.0
waitingline-reverse,7.493818181818181,56.00000000000001
waitingline-reverse,9.012063492063493,50.0
waitingline-shuffle,1.127950842090061,100.0
waitingline-shuffle,2.9066679986679986,87.0
waitingline-shuffle,3.2229317349317346,68.0
waitingline-shuffle,3.690331890331891,36.0
waitingline-shuffle,4.311215007215006,12.0
waitingline-shuffle,6.010158730158729,4.0
waitingline-sort,1.0684664496299645,36.0
waitingline-sort,3.5510365190365185,30.0
waitingline-sort,4.836313020313019,22.0
waitingline-sort,6.1238441558441545,18.0
waitingline-sort,8.033904761904761,9.0
waitingline-sort,8.826666666666666,1.0
avg,1.3976853625085057,89.82352941176471
avg,4.120472475241852,87.41176470588235
avg,5.503961786687467,80.76470588235294
avg,6.807909934765663,72.52941176470588
avg,8.023889967992739,64.70588235294117
avg,9.814801767944573,56.23529411764706
