task,tps,accuracy
puzzles-latin_square,1.9100541540451175,49.0
puzzles-latin_square,2.0064516680562576,49.0
puzzles-latin_square,2.049188921223469,45.0
puzzles-latin_square,2.114677352221447,45.0
puzzles-sudoku,3.998257995186787,96.0
puzzles-sudoku,4.411802169622603,97.0
puzzles-sudoku,4.751894157442145,96.0
puzzles-sudoku,4.9911290278349085,92.0
textwriting-paraphrasing,2.4465315921589195,85.0
textwriting-paraphrasing,2.6349830612462166,85.0
textwriting-paraphrasing,2.8709653418095065,85.0
textwriting-paraphrasing,3.08214604196459,86.0
textwriting-summarization,1.4574027144904331,96.0
textwriting-summarization,1.6685083042300486,96.0
textwriting-summarization,1.9543056647758732,96.0
textwriting-summarization,2.215281257501913,96.0
textwriting-w2s_easy,2.2467944887335385,100.0
textwriting-w2s_easy,2.3168556752092537,100.0
textwriting-w2s_easy,2.4182983592701293,100.0
textwriting-w2s_easy,2.50347279568328,100.0
textwriting-w2s_hard,1.4319359031932328,98.0
textwriting-w2s_hard,1.5392359507158178,98.0
textwriting-w2s_hard,1.6444854066623882,98.0
textwriting-w2s_hard,1.7325435736526709,97.0
textwriting-w2s_medium,1.9569414405334051,100.0
textwriting-w2s_medium,2.049817344361818,100.0
textwriting-w2s_medium,2.14580905286149,100.0
textwriting-w2s_medium,2.246939733891724,100.0
waitingline-copy,8.293333333333333,100.0
waitingline-copy,8.293333333333333,100.0
waitingline-copy,8.319999999999999,100.0
waitingline-copy,8.319999999999999,100.0
waitingline-insert_index,3.762278375219552,84.0
waitingline-insert_index,4.057690440278676,86.0
waitingline-insert_index,4.244847596847597,88.0
waitingline-insert_index,4.301078477078478,88.0
waitingline-insert_random,1.662068362440321,99.0
waitingline-insert_random,1.954978470916121,99.0
waitingline-insert_random,2.392674055906254,91.0
waitingline-insert_random,2.5840876110473636,78.0
waitingline-remove_index,5.497631257631258,89.0
waitingline-remove_index,5.542476190476191,89.0
waitingline-remove_index,5.564329004329004,89.0
waitingline-remove_index,5.575757575757576,90.0
waitingline-remove_random,2.391895592539555,100.0
waitingline-remove_random,2.675885212826389,100.0
waitingline-remove_random,3.0735504495504493,98.0
waitingline-remove_random,3.3304792984792986,93.0
waitingline-replace_index,6.2186666666666675,100.0
waitingline-replace_index,6.2199365079365085,100.0
waitingline-replace_index,6.2231111111111135,100.0
waitingline-replace_index,6.2231111111111135,100.0
waitingline-replace_random,2.251983474804312,100.0
waitingline-replace_random,2.744504893111704,98.0
waitingline-replace_random,3.1300240152004863,90.0
waitingline-replace_random,3.3752404458286818,77.0
waitingline-reverse,4.793788433788435,97.0
waitingline-reverse,4.882093018093018,94.0
waitingline-reverse,4.951665223665223,87.0
waitingline-reverse,4.964860028860028,84.0
waitingline-shuffle,2.054535492177166,100.0
waitingline-shuffle,2.128119251921109,100.0
waitingline-shuffle,2.199983878522578,97.0
waitingline-shuffle,2.3448622419891767,93.0
waitingline-sort,2.200057573045701,34.0
waitingline-sort,2.32991019527727,33.0
waitingline-sort,2.5067217667093824,33.0
waitingline-sort,2.705065594192529,27.0
avg,1.4319359031932328,98.0
avg,1.4574027144904331,96.0
avg,1.5392359507158178,98.0
avg,1.6444854066623882,98.0
avg,1.662068362440321,99.0
avg,1.6685083042300486,96.0
avg,1.7325435736526709,97.0
avg,1.9100541540451175,49.0
avg,1.9543056647758732,96.0
avg,1.954978470916121,99.0
avg,1.9569414405334051,100.0
avg,2.0064516680562576,49.0
avg,2.049188921223469,45.0
avg,2.049817344361818,100.0
avg,2.054535492177166,100.0
avg,2.114677352221447,45.0
avg,2.128119251921109,100.0
avg,2.14580905286149,100.0
avg,2.199983878522578,97.0
avg,2.200057573045701,34.0
avg,2.215281257501913,96.0
avg,2.2467944887335385,100.0
avg,2.246939733891724,100.0
avg,2.251983474804312,100.0
avg,2.3168556752092537,100.0
avg,2.32991019527727,33.0
avg,2.3448622419891767,93.0
avg,2.391895592539555,100.0
avg,2.392674055906254,91.0
avg,2.4182983592701293,100.0
avg,2.4465315921589195,85.0
avg,2.50347279568328,100.0
avg,2.5067217667093824,33.0
avg,2.5840876110473636,78.0
avg,2.6349830612462166,85.0
avg,2.675885212826389,100.0
avg,2.705065594192529,27.0
avg,2.744504893111704,98.0
avg,2.8709653418095065,85.0
avg,3.0735504495504493,98.0
avg,3.08214604196459,86.0
avg,3.1300240152004863,90.0
avg,3.3304792984792986,93.0
avg,3.3752404458286818,77.0
avg,3.762278375219552,84.0
avg,3.998257995186787,96.0
avg,4.057690440278676,86.0
avg,4.244847596847597,88.0
avg,4.301078477078478,88.0
avg,4.411802169622603,97.0
avg,4.751894157442145,96.0
avg,4.793788433788435,97.0
avg,4.882093018093018,94.0
avg,4.951665223665223,87.0
avg,4.964860028860028,84.0
avg,4.9911290278349085,92.0
avg,5.497631257631258,89.0
avg,5.542476190476191,89.0
avg,5.564329004329004,89.0
avg,5.575757575757576,90.0
avg,6.2186666666666675,100.0
avg,6.2199365079365085,100.0
avg,6.2231111111111135,100.0
avg,8.293333333333333,100.0
avg,8.319999999999999,100.0
