task,tps,accuracy
puzzles-latin_square,6.8966,46.0
puzzles-latin_square,8.41,45.0
puzzles-latin_square,9.2219,37.0
puzzles-latin_square,10.0471,34.0
puzzles-latin_square,10.9402,27.0
puzzles-sudoku,14.4906,93.5185
puzzles-sudoku,16.1495,91.6667
puzzles-sudoku,17.4987,94.4444
puzzles-sudoku,19.2535,92.5926
puzzles-sudoku,19.9769,92.5926
textwriting-paraphrasing,8.2581,96.0
textwriting-paraphrasing,10.3226,94.0
textwriting-paraphrasing,12.0075,95.0
textwriting-paraphrasing,13.3333,96.0
textwriting-paraphrasing,14.2539,94.0
textwriting-summarization,2.5137,94.0
textwriting-summarization,3.0476,91.0
textwriting-summarization,3.6571,84.0
textwriting-summarization,4.426,85.0
textwriting-summarization,5.0794,79.0
textwriting-w2s_easy,5.2117,99.0
textwriting-w2s_easy,6.293,99.0
textwriting-w2s_easy,7.5294,94.0
textwriting-w2s_easy,8.8766,93.0
textwriting-w2s_easy,9.771,92.0
textwriting-w2s_hard,2.6219,96.0
textwriting-w2s_hard,3.0303,94.0
textwriting-w2s_hard,3.5398,94.0
textwriting-w2s_hard,4.2867,90.0
textwriting-w2s_hard,4.8892,86.0
textwriting-w2s_medium,3.8346,97.0
textwriting-w2s_medium,4.6545,97.0
textwriting-w2s_medium,5.5172,94.0
textwriting-w2s_medium,6.5507,90.0
textwriting-w2s_medium,7.4854,87.0
waitingline-copy,29.3578,100.0
waitingline-copy,29.9065,100.0
waitingline-copy,30.4762,100.0
waitingline-copy,31.6832,100.0
waitingline-copy,31.6832,100.0
waitingline-insert_index,14.2857,50.0
waitingline-insert_index,14.6119,49.0
waitingline-insert_index,15.0943,48.0
waitingline-insert_index,15.2381,49.0
waitingline-insert_index,15.311,48.0
waitingline-insert_random,8.8889,88.0
waitingline-insert_random,9.7561,84.0
waitingline-insert_random,10.356,75.0
waitingline-insert_random,11.3475,72.0
waitingline-insert_random,11.985,70.0
waitingline-remove_index,16.7539,62.0
waitingline-remove_index,17.0213,62.0
waitingline-remove_index,17.6796,63.0
waitingline-remove_index,18.3908,63.0
waitingline-remove_index,18.8235,62.0
waitingline-remove_random,11.7216,76.0
waitingline-remove_random,12.8,74.0
waitingline-remove_random,13.7931,72.0
waitingline-remove_random,14.7465,72.0
waitingline-remove_random,15.0943,76.0
waitingline-replace_index,18.3908,48.0
waitingline-replace_index,18.9349,48.0
waitingline-replace_index,20.0,47.0
waitingline-replace_index,21.1921,45.0
waitingline-replace_index,21.6216,45.0
waitingline-replace_random,13.1687,70.0
waitingline-replace_random,14.1593,61.0
waitingline-replace_random,14.6119,59.0
waitingline-replace_random,15.4589,56.0
waitingline-replace_random,16.0804,50.0
waitingline-reverse,13.1148,99.0
waitingline-reverse,13.7931,99.0
waitingline-reverse,14.2222,99.0
waitingline-reverse,14.9533,98.0
waitingline-reverse,15.7635,95.0
waitingline-shuffle,4.893,72.0
waitingline-shuffle,5.4983,47.0
waitingline-shuffle,6.3492,27.0
waitingline-shuffle,7.2893,15.0
waitingline-shuffle,8.0605,13.0
waitingline-sort,7.6923,32.0
waitingline-sort,8.6486,34.0
waitingline-sort,9.2754,31.0
waitingline-sort,10.0,26.0
waitingline-sort,10.2894,28.0
avg,10.7115,77.5599
avg,11.5904,74.6863
avg,12.4017,71.3791
avg,13.3573,69.2113
avg,13.9476,67.329
