task,tps,accuracy
puzzles-latin_square,1.6732,58.0
puzzles-latin_square,6.1127,47.0
puzzles-latin_square,9.3704,36.0
puzzles-latin_square,11.8738,19.0
puzzles-latin_square,12.6984,8.0
puzzles-latin_square,15.2381,0.0
puzzles-sudoku,3.0118,98.1481
puzzles-sudoku,15.2247,97.2222
puzzles-sudoku,19.5807,90.7407
puzzles-sudoku,22.7368,79.6296
puzzles-sudoku,25.5055,74.0741
puzzles-sudoku,29.1646,41.6667
textwriting-paraphrasing,2.6812,99.0
textwriting-paraphrasing,7.0953,99.0
textwriting-paraphrasing,9.4395,97.0
textwriting-paraphrasing,13.3333,90.0
textwriting-paraphrasing,16.9761,81.0
textwriting-paraphrasing,21.3333,67.0
textwriting-summarization,1.138,94.0
textwriting-summarization,1.9741,94.0
textwriting-summarization,2.5549,89.0
textwriting-summarization,3.4632,84.0
textwriting-summarization,4.7868,73.0
textwriting-summarization,6.6667,61.0
textwriting-w2s_easy,1.99,100.0
textwriting-w2s_easy,4.1967,100.0
textwriting-w2s_easy,5.4008,100.0
textwriting-w2s_easy,7.2072,96.0
textwriting-w2s_easy,9.5522,89.0
textwriting-w2s_easy,12.6482,80.0
textwriting-w2s_hard,1.2317,98.0
textwriting-w2s_hard,2.1644,98.0
textwriting-w2s_hard,2.6734,97.0
textwriting-w2s_hard,3.2487,94.0
textwriting-w2s_hard,3.9216,89.0
textwriting-w2s_hard,5.2459,70.0
textwriting-w2s_medium,1.6402,100.0
textwriting-w2s_medium,3.1281,100.0
textwriting-w2s_medium,3.924,100.0
textwriting-w2s_medium,4.9651,98.0
textwriting-w2s_medium,6.3936,93.0
textwriting-w2s_medium,8.8398,85.0
waitingline-copy,11.8959,100.0
waitingline-copy,28.0702,100.0
waitingline-copy,29.6296,100.0
waitingline-copy,30.1887,100.0
waitingline-copy,30.7692,100.0
waitingline-copy,31.3725,100.0
waitingline-insert_index,5.6239,51.0
waitingline-insert_index,13.0081,49.0
waitingline-insert_index,15.311,45.0
waitingline-insert_index,15.7635,42.0
waitingline-insert_index,16.8421,41.0
waitingline-insert_index,18.8235,34.0
waitingline-insert_random,2.6622,100.0
waitingline-insert_random,9.2486,90.0
waitingline-insert_random,11.5523,71.0
waitingline-insert_random,13.3891,61.0
waitingline-insert_random,13.7931,46.0
waitingline-insert_random,15.0235,28.0
waitingline-remove_index,6.4,64.0
waitingline-remove_index,16.8421,62.0
waitingline-remove_index,19.2771,61.0
waitingline-remove_index,21.6216,60.0
waitingline-remove_index,23.5294,58.0
waitingline-remove_index,26.6667,51.0
waitingline-remove_random,3.3578,86.0
waitingline-remove_random,11.1888,94.0
waitingline-remove_random,13.9738,83.0
waitingline-remove_random,15.9204,75.0
waitingline-remove_random,18.0791,66.0
waitingline-remove_random,23.1884,52.0
waitingline-replace_index,6.7797,52.0
waitingline-replace_index,19.1617,49.0
waitingline-replace_index,20.6452,48.0
waitingline-replace_index,23.5294,45.0
waitingline-replace_index,26.4463,43.0
waitingline-replace_index,28.8288,42.0
waitingline-replace_random,3.6158,99.0
waitingline-replace_random,13.3333,57.0
waitingline-replace_random,16.7539,38.0
waitingline-replace_random,19.8758,21.0
waitingline-replace_random,22.069,13.0
waitingline-replace_random,25.6,6.0
waitingline-reverse,3.7691,100.0
waitingline-reverse,13.913,96.0
waitingline-reverse,16.1616,91.0
waitingline-reverse,17.8771,87.0
waitingline-reverse,19.5122,83.0
waitingline-reverse,21.1921,74.0
waitingline-shuffle,3.4006,100.0
waitingline-shuffle,4.4138,92.0
waitingline-shuffle,5.12,64.0
waitingline-shuffle,6.1657,38.0
waitingline-shuffle,7.8431,15.0
waitingline-shuffle,10.596,7.0
waitingline-sort,3.2226,45.0
waitingline-sort,6.7511,38.0
waitingline-sort,8.3333,28.0
waitingline-sort,10.3896,19.0
waitingline-sort,11.5942,14.0
waitingline-sort,14.1593,9.0
avg,3.7702,84.9499
avg,10.3427,80.1307
avg,12.3354,72.8671
avg,14.2088,65.2135
avg,15.9007,58.0044
avg,18.5051,47.5098
