task,tps,accuracy
puzzles-latin_square,1.0,51.0
puzzles-latin_square,2.0,54.0
puzzles-latin_square,4.0,37.0
puzzles-latin_square,8.0,16.0
puzzles-latin_square,16.0,0.0
puzzles-latin_square,32.0,0.0
puzzles-latin_square,64.0,0.0
puzzles-sudoku,1.0,99.0741
puzzles-sudoku,2.0,97.2222
puzzles-sudoku,4.0,89.8148
puzzles-sudoku,8.0,82.4074
puzzles-sudoku,16.0,58.3333
puzzles-sudoku,32.0,0.9259
puzzles-sudoku,64.0,0.9259
textwriting-paraphrasing,1.0,99.0
textwriting-paraphrasing,2.0,100.0
textwriting-paraphrasing,4.0,83.0
textwriting-paraphrasing,8.0,75.0
textwriting-paraphrasing,16.0,32.0
textwriting-paraphrasing,32.0,27.0
textwriting-paraphrasing,64.0,28.0
textwriting-summarization,1.0,94.0
textwriting-summarization,2.0,81.0
textwriting-summarization,4.0,63.0
textwriting-summarization,8.0,34.0
textwriting-summarization,16.0,15.0
textwriting-summarization,32.0,10.0
textwriting-summarization,64.0,14.0
textwriting-w2s_easy,1.0,99.0
textwriting-w2s_easy,2.0,93.0
textwriting-w2s_easy,4.0,71.0
textwriting-w2s_easy,8.0,43.0
textwriting-w2s_easy,16.0,11.0
textwriting-w2s_easy,32.0,6.0
textwriting-w2s_easy,64.0,4.0
textwriting-w2s_hard,1.0,93.0
textwriting-w2s_hard,2.0,78.0
textwriting-w2s_hard,4.0,28.0
textwriting-w2s_hard,8.0,13.0
textwriting-w2s_hard,16.0,2.0
textwriting-w2s_hard,32.0,0.0
textwriting-w2s_hard,64.0,0.0
textwriting-w2s_medium,1.0,100.0
textwriting-w2s_medium,2.0,92.0
textwriting-w2s_medium,4.0,47.0
textwriting-w2s_medium,8.0,26.0
textwriting-w2s_medium,16.0,5.0
textwriting-w2s_medium,32.0,0.0
textwriting-w2s_medium,64.0,0.0
waitingline-copy,1.0,100.0
waitingline-copy,2.0,100.0
waitingline-copy,4.0,100.0
waitingline-copy,8.0,100.0
waitingline-copy,16.0,100.0
waitingline-copy,32.0,99.0
waitingline-insert_index,1.0,50.0
waitingline-insert_index,2.0,49.0
waitingline-insert_index,4.0,48.0
waitingline-insert_index,8.0,47.0
waitingline-insert_index,16.0,46.0
waitingline-insert_index,32.0,27.0
waitingline-insert_random,1.0,100.0
waitingline-insert_random,2.0,82.0
waitingline-insert_random,4.0,71.0
waitingline-insert_random,8.0,46.0
waitingline-insert_random,16.0,11.0
waitingline-insert_random,32.0,9.0
waitingline-remove_index,1.0,64.0
waitingline-remove_index,2.0,62.0
waitingline-remove_index,4.0,63.0
waitingline-remove_index,8.0,63.0
waitingline-remove_index,16.0,57.0
waitingline-remove_index,32.0,49.0
waitingline-remove_random,1.0,86.0
waitingline-remove_random,2.0,69.0
waitingline-remove_random,4.0,69.0
waitingline-remove_random,8.0,67.0
waitingline-remove_random,16.0,49.0
waitingline-remove_random,32.0,40.0
waitingline-replace_index,1.0,53.0
waitingline-replace_index,2.0,47.0
waitingline-replace_index,4.0,45.0
waitingline-replace_index,8.0,41.0
waitingline-replace_index,16.0,51.0
waitingline-replace_index,32.0,41.0
waitingline-replace_random,1.0,97.0
waitingline-replace_random,2.0,79.0
waitingline-replace_random,4.0,70.0
waitingline-replace_random,8.0,21.0
waitingline-replace_random,16.0,10.0
waitingline-replace_random,32.0,6.0
waitingline-reverse,1.0,100.0
waitingline-reverse,2.0,100.0
waitingline-reverse,4.0,97.0
waitingline-reverse,8.0,77.0
waitingline-reverse,16.0,58.0
waitingline-reverse,32.0,62.0
waitingline-shuffle,1.0,99.0
waitingline-shuffle,2.0,21.0
waitingline-shuffle,4.0,12.0
waitingline-shuffle,8.0,0.0
waitingline-shuffle,16.0,1.0
waitingline-shuffle,32.0,0.0
waitingline-sort,1.0,49.0
waitingline-sort,2.0,36.0
waitingline-sort,4.0,30.0
waitingline-sort,8.0,4.0
waitingline-sort,16.0,1.0
waitingline-sort,32.0,1.0
avg,1.0,84.2985
avg,2.0,72.9542
avg,4.0,60.2244
avg,8.0,44.4357
avg,16.0,29.8431
avg,32.0,22.2309
