task,tps,accuracy
puzzles-latin_square,1.0,60.0
puzzles-latin_square,2.0,52.0
puzzles-latin_square,4.0,33.0
puzzles-latin_square,8.0,11.0
puzzles-latin_square,16.0,0.0
puzzles-latin_square,32.0,0.0
puzzles-latin_square,64.0,0.0
puzzles-sudoku,1.0,98.1481
puzzles-sudoku,2.0,95.3704
puzzles-sudoku,4.0,88.8889
puzzles-sudoku,8.0,80.5556
puzzles-sudoku,16.0,53.7037
puzzles-sudoku,32.0,3.7037
puzzles-sudoku,64.0,0.9259
textwriting-paraphrasing,1.0,99.0
textwriting-paraphrasing,2.0,96.0
textwriting-paraphrasing,4.0,93.0
textwriting-paraphrasing,8.0,78.0
textwriting-paraphrasing,16.0,42.0
textwriting-paraphrasing,32.0,31.0
textwriting-paraphrasing,64.0,28.0
textwriting-summarization,1.0,97.0
textwriting-summarization,2.0,91.0
textwriting-summarization,4.0,68.0
textwriting-summarization,8.0,52.0
textwriting-summarization,16.0,18.0
textwriting-summarization,32.0,9.0
textwriting-summarization,64.0,14.0
textwriting-w2s_easy,1.0,100.0
textwriting-w2s_easy,2.0,96.0
textwriting-w2s_easy,4.0,81.0
textwriting-w2s_easy,8.0,44.0
textwriting-w2s_easy,16.0,16.0
textwriting-w2s_easy,32.0,6.0
textwriting-w2s_easy,64.0,4.0
textwriting-w2s_hard,1.0,100.0
textwriting-w2s_hard,2.0,84.0
textwriting-w2s_hard,4.0,49.0
textwriting-w2s_hard,8.0,13.0
textwriting-w2s_hard,16.0,1.0
textwriting-w2s_hard,32.0,1.0
textwriting-w2s_hard,64.0,0.0
textwriting-w2s_medium,1.0,100.0
textwriting-w2s_medium,2.0,99.0
textwriting-w2s_medium,4.0,67.0
textwriting-w2s_medium,8.0,29.0
textwriting-w2s_medium,16.0,4.0
textwriting-w2s_medium,32.0,0.0
textwriting-w2s_medium,64.0,0.0
waitingline-copy,1.0,100.0
waitingline-copy,2.0,100.0
waitingline-copy,4.0,100.0
waitingline-copy,8.0,100.0
waitingline-copy,16.0,100.0
waitingline-copy,32.0,99.0
waitingline-insert_index,1.0,50.0
waitingline-insert_index,2.0,49.0
waitingline-insert_index,4.0,50.0
waitingline-insert_index,8.0,49.0
waitingline-insert_index,16.0,50.0
waitingline-insert_index,32.0,27.0
waitingline-insert_random,1.0,99.0
waitingline-insert_random,2.0,82.0
waitingline-insert_random,4.0,69.0
waitingline-insert_random,8.0,43.0
waitingline-insert_random,16.0,17.0
waitingline-insert_random,32.0,9.0
waitingline-remove_index,1.0,65.0
waitingline-remove_index,2.0,63.0
waitingline-remove_index,4.0,63.0
waitingline-remove_index,8.0,62.0
waitingline-remove_index,16.0,58.0
waitingline-remove_index,32.0,49.0
waitingline-remove_random,1.0,86.0
waitingline-remove_random,2.0,69.0
waitingline-remove_random,4.0,69.0
waitingline-remove_random,8.0,62.0
waitingline-remove_random,16.0,47.0
waitingline-remove_random,32.0,40.0
waitingline-replace_index,1.0,54.0
waitingline-replace_index,2.0,49.0
waitingline-replace_index,4.0,46.0
waitingline-replace_index,8.0,45.0
waitingline-replace_index,16.0,45.0
waitingline-replace_index,32.0,41.0
waitingline-replace_random,1.0,97.0
waitingline-replace_random,2.0,85.0
waitingline-replace_random,4.0,66.0
waitingline-replace_random,8.0,20.0
waitingline-replace_random,16.0,8.0
waitingline-replace_random,32.0,6.0
waitingline-reverse,1.0,100.0
waitingline-reverse,2.0,100.0
waitingline-reverse,4.0,98.0
waitingline-reverse,8.0,76.0
waitingline-reverse,16.0,63.0
waitingline-reverse,32.0,62.0
waitingline-shuffle,1.0,99.0
waitingline-shuffle,2.0,20.0
waitingline-shuffle,4.0,11.0
waitingline-shuffle,8.0,0.0
waitingline-shuffle,16.0,0.0
waitingline-shuffle,32.0,0.0
waitingline-sort,1.0,44.0
waitingline-sort,2.0,35.0
waitingline-sort,4.0,29.0
waitingline-sort,8.0,5.0
waitingline-sort,16.0,1.0
waitingline-sort,32.0,1.0
avg,1.0,85.1852
avg,2.0,74.4336
avg,4.0,63.5817
avg,8.0,45.268
avg,16.0,30.8061
avg,32.0,22.6296
