task,tps,accuracy
puzzles-latin_square,4.8855,43.0
puzzles-latin_square,6.142,36.0
puzzles-latin_square,7.0562,25.0
puzzles-latin_square,7.98,25.0
puzzles-latin_square,8.6721,26.0
puzzles-sudoku,9.6267,96.2963
puzzles-sudoku,11.2026,96.2963
puzzles-sudoku,12.169,96.2963
puzzles-sudoku,13.0909,94.4444
puzzles-sudoku,13.7689,93.5185
textwriting-paraphrasing,5.4561,97.0
textwriting-paraphrasing,6.7016,94.0
textwriting-paraphrasing,8.0503,95.0
textwriting-paraphrasing,9.3842,91.0
textwriting-paraphrasing,10.4746,88.0
textwriting-summarization,1.7892,91.0
textwriting-summarization,2.0766,89.0
textwriting-summarization,2.4465,78.0
textwriting-summarization,2.9371,74.0
textwriting-summarization,3.4973,73.0
textwriting-w2s_easy,3.534,100.0
textwriting-w2s_easy,4.1967,99.0
textwriting-w2s_easy,5.0,97.0
textwriting-w2s_easy,6.0434,95.0
textwriting-w2s_easy,6.949,91.0
textwriting-w2s_hard,1.9668,90.0
textwriting-w2s_hard,2.2409,90.0
textwriting-w2s_hard,2.5347,89.0
textwriting-w2s_hard,3.0089,91.0
textwriting-w2s_hard,3.5655,90.0
textwriting-w2s_medium,2.7257,97.0
textwriting-w2s_medium,3.1778,96.0
textwriting-w2s_medium,3.6952,98.0
textwriting-w2s_medium,4.539,94.0
textwriting-w2s_medium,5.3646,88.0
waitingline-copy,21.3333,100.0
waitingline-copy,25.3968,100.0
waitingline-copy,26.8908,100.0
waitingline-copy,28.3186,100.0
waitingline-copy,29.3578,100.0
waitingline-insert_index,12.3552,49.0
waitingline-insert_index,13.278,49.0
waitingline-insert_index,13.8528,48.0
waitingline-insert_index,14.2222,49.0
waitingline-insert_index,14.2857,49.0
waitingline-insert_random,7.3733,85.0
waitingline-insert_random,8.399,82.0
waitingline-insert_random,9.1429,76.0
waitingline-insert_random,9.9071,70.0
waitingline-insert_random,10.4235,72.0
waitingline-remove_index,14.2222,68.0
waitingline-remove_index,14.6119,67.0
waitingline-remove_index,15.4589,66.0
waitingline-remove_index,15.8416,66.0
waitingline-remove_index,16.2437,66.0
waitingline-remove_random,9.2486,71.0
waitingline-remove_random,10.2564,71.0
waitingline-remove_random,10.9589,71.0
waitingline-remove_random,11.7647,71.0
waitingline-remove_random,12.4031,68.0
waitingline-replace_index,15.311,59.0
waitingline-replace_index,16.0804,59.0
waitingline-replace_index,16.9312,59.0
waitingline-replace_index,18.2857,55.0
waitingline-replace_index,18.9349,55.0
waitingline-replace_random,10.4235,79.0
waitingline-replace_random,11.5108,69.0
waitingline-replace_random,12.3552,65.0
waitingline-replace_random,13.278,63.0
waitingline-replace_random,14.0969,59.0
waitingline-reverse,11.3879,96.0
waitingline-reverse,12.2137,98.0
waitingline-reverse,13.1148,94.0
waitingline-reverse,13.6752,95.0
waitingline-reverse,14.0351,95.0
waitingline-shuffle,4.3537,85.0
waitingline-shuffle,4.9767,55.0
waitingline-shuffle,5.8182,36.0
waitingline-shuffle,6.7653,21.0
waitingline-shuffle,7.3733,8.0
waitingline-sort,6.4,35.0
waitingline-sort,7.4592,29.0
waitingline-sort,8.2262,28.0
waitingline-sort,8.8643,23.0
waitingline-sort,9.4118,19.0
avg,8.376,78.8998
avg,9.4071,75.2527
avg,10.2178,71.841
avg,11.0533,69.2614
avg,11.6975,67.0893
