task,tps,accuracy
puzzles-latin_square,1.4057,52.0
puzzles-latin_square,3.8485,41.0
puzzles-latin_square,6.3809,42.0
puzzles-latin_square,9.831,30.0
puzzles-latin_square,12.2841,11.0
puzzles-latin_square,13.5881,1.0
puzzles-sudoku,1.8476,96.2963
puzzles-sudoku,9.8743,97.2222
puzzles-sudoku,14.7064,96.2963
puzzles-sudoku,18.5806,93.5185
puzzles-sudoku,22.8874,86.1111
puzzles-sudoku,27.0,83.3333
textwriting-paraphrasing,1.8675,99.0
textwriting-paraphrasing,4.4881,99.0
textwriting-paraphrasing,6.1955,96.0
textwriting-paraphrasing,8.522,93.0
textwriting-paraphrasing,11.5315,91.0
textwriting-paraphrasing,15.311,76.0
textwriting-summarization,1.0607,91.0
textwriting-summarization,1.4811,91.0
textwriting-summarization,1.8003,91.0
textwriting-summarization,2.2711,88.0
textwriting-summarization,2.8571,75.0
textwriting-summarization,3.99,66.0
textwriting-w2s_easy,1.5713,100.0
textwriting-w2s_easy,3.016,100.0
textwriting-w2s_easy,3.7383,100.0
textwriting-w2s_easy,4.7267,99.0
textwriting-w2s_easy,5.8986,98.0
textwriting-w2s_easy,8.3225,81.0
textwriting-w2s_hard,1.1012,99.0
textwriting-w2s_hard,1.7144,99.0
textwriting-w2s_hard,2.0,99.0
textwriting-w2s_hard,2.366,97.0
textwriting-w2s_hard,2.7586,92.0
textwriting-w2s_hard,3.4651,93.0
textwriting-w2s_medium,1.3088,100.0
textwriting-w2s_medium,2.3651,100.0
textwriting-w2s_medium,2.8319,100.0
textwriting-w2s_medium,3.4043,100.0
textwriting-w2s_medium,4.137,99.0
textwriting-w2s_medium,5.5993,89.0
waitingline-copy,9.9379,100.0
waitingline-copy,27.1186,100.0
waitingline-copy,28.8288,100.0
waitingline-copy,30.1887,100.0
waitingline-copy,30.4762,100.0
waitingline-copy,31.6832,100.0
waitingline-insert_index,3.1621,54.0
waitingline-insert_index,12.6984,50.0
waitingline-insert_index,14.2222,48.0
waitingline-insert_index,14.7465,45.0
waitingline-insert_index,15.7635,39.0
waitingline-insert_index,17.3913,30.0
waitingline-insert_random,1.6235,100.0
waitingline-insert_random,7.7482,90.0
waitingline-insert_random,10.4235,73.0
waitingline-insert_random,11.7216,49.0
waitingline-insert_random,13.6752,46.0
waitingline-insert_random,14.5455,23.0
waitingline-remove_index,3.1558,67.0
waitingline-remove_index,15.0235,69.0
waitingline-remove_index,16.4948,68.0
waitingline-remove_index,18.3908,68.0
waitingline-remove_index,20.5128,67.0
waitingline-remove_index,22.2222,62.0
waitingline-remove_random,2.0645,65.0
waitingline-remove_random,9.3842,78.0
waitingline-remove_random,12.6482,82.0
waitingline-remove_random,14.5455,81.0
waitingline-remove_random,15.3846,74.0
waitingline-remove_random,18.4971,54.0
waitingline-replace_index,4.1612,54.0
waitingline-replace_index,16.4948,59.0
waitingline-replace_index,19.0476,60.0
waitingline-replace_index,20.915,56.0
waitingline-replace_index,23.5294,54.0
waitingline-replace_index,26.4463,50.0
waitingline-replace_random,1.8835,94.0
waitingline-replace_random,11.2676,81.0
waitingline-replace_random,14.4144,60.0
waitingline-replace_random,16.5803,41.0
waitingline-replace_random,18.3908,32.0
waitingline-replace_random,20.7792,21.0
waitingline-reverse,2.7658,100.0
waitingline-reverse,12.3552,98.0
waitingline-reverse,14.3498,97.0
waitingline-reverse,15.8416,87.0
waitingline-reverse,16.6667,81.0
waitingline-reverse,18.0791,69.0
waitingline-shuffle,2.3443,100.0
waitingline-shuffle,4.2161,90.0
waitingline-shuffle,4.7619,66.0
waitingline-shuffle,5.8182,45.0
waitingline-shuffle,7.0022,21.0
waitingline-shuffle,9.4395,10.0
waitingline-sort,1.9347,42.0
waitingline-sort,5.6838,35.0
waitingline-sort,7.4766,29.0
waitingline-sort,9.0652,19.0
waitingline-sort,10.6312,14.0
waitingline-sort,12.6482,7.0
avg,2.5409,83.1351
avg,8.7516,81.0131
avg,10.6071,76.8998
avg,12.2068,70.0893
avg,13.7875,63.5359
avg,15.824,53.8431
