task,tps,accuracy
puzzles-latin_square,1.0,39.0
puzzles-latin_square,2.0,43.0
puzzles-latin_square,4.0,28.0
puzzles-latin_square,8.0,8.0
puzzles-latin_square,16.0,0.0
puzzles-latin_square,32.0,0.0
puzzles-latin_square,64.0,0.0
puzzles-sudoku,1.0,95.3704
puzzles-sudoku,2.0,96.2963
puzzles-sudoku,4.0,92.5926
puzzles-sudoku,8.0,82.4074
puzzles-sudoku,16.0,59.2593
puzzles-sudoku,32.0,0.9259
puzzles-sudoku,64.0,0.9259
textwriting-paraphrasing,1.0,98.0
textwriting-paraphrasing,2.0,90.0
textwriting-paraphrasing,4.0,85.0
textwriting-paraphrasing,8.0,64.0
textwriting-paraphrasing,16.0,29.0
textwriting-paraphrasing,32.0,27.0
textwriting-paraphrasing,64.0,21.0
textwriting-summarization,1.0,95.0
textwriting-summarization,2.0,76.0
textwriting-summarization,4.0,45.0
textwriting-summarization,8.0,26.0
textwriting-summarization,16.0,11.0
textwriting-summarization,32.0,6.0
textwriting-summarization,64.0,12.0
textwriting-w2s_easy,1.0,100.0
textwriting-w2s_easy,2.0,88.0
textwriting-w2s_easy,4.0,59.0
textwriting-w2s_easy,8.0,30.0
textwriting-w2s_easy,16.0,6.0
textwriting-w2s_easy,32.0,6.0
textwriting-w2s_easy,64.0,2.0
textwriting-w2s_hard,1.0,99.0
textwriting-w2s_hard,2.0,61.0
textwriting-w2s_hard,4.0,19.0
textwriting-w2s_hard,8.0,2.0
textwriting-w2s_hard,16.0,2.0
textwriting-w2s_hard,32.0,0.0
textwriting-w2s_hard,64.0,1.0
textwriting-w2s_medium,1.0,100.0
textwriting-w2s_medium,2.0,81.0
textwriting-w2s_medium,4.0,42.0
textwriting-w2s_medium,8.0,14.0
textwriting-w2s_medium,16.0,2.0
textwriting-w2s_medium,32.0,0.0
textwriting-w2s_medium,64.0,0.0
waitingline-copy,1.0,100.0
waitingline-copy,2.0,100.0
waitingline-copy,4.0,100.0
waitingline-copy,8.0,100.0
waitingline-copy,16.0,100.0
waitingline-copy,32.0,99.0
waitingline-insert_index,1.0,53.0
waitingline-insert_index,2.0,51.0
waitingline-insert_index,4.0,50.0
waitingline-insert_index,8.0,49.0
waitingline-insert_index,16.0,45.0
waitingline-insert_index,32.0,24.0
waitingline-insert_random,1.0,100.0
waitingline-insert_random,2.0,86.0
waitingline-insert_random,4.0,75.0
waitingline-insert_random,8.0,40.0
waitingline-insert_random,16.0,20.0
waitingline-insert_random,32.0,3.0
waitingline-remove_index,1.0,67.0
waitingline-remove_index,2.0,63.0
waitingline-remove_index,4.0,66.0
waitingline-remove_index,8.0,67.0
waitingline-remove_index,16.0,62.0
waitingline-remove_index,32.0,49.0
waitingline-remove_random,1.0,65.0
waitingline-remove_random,2.0,67.0
waitingline-remove_random,4.0,68.0
waitingline-remove_random,8.0,66.0
waitingline-remove_random,16.0,50.0
waitingline-remove_random,32.0,28.0
waitingline-replace_index,1.0,55.0
waitingline-replace_index,2.0,52.0
waitingline-replace_index,4.0,50.0
waitingline-replace_index,8.0,54.0
waitingline-replace_index,16.0,59.0
waitingline-replace_index,32.0,45.0
waitingline-replace_random,1.0,95.0
waitingline-replace_random,2.0,77.0
waitingline-replace_random,4.0,72.0
waitingline-replace_random,8.0,28.0
waitingline-replace_random,16.0,14.0
waitingline-replace_random,32.0,12.0
waitingline-reverse,1.0,100.0
waitingline-reverse,2.0,100.0
waitingline-reverse,4.0,96.0
waitingline-reverse,8.0,78.0
waitingline-reverse,16.0,51.0
waitingline-reverse,32.0,49.0
waitingline-shuffle,1.0,100.0
waitingline-shuffle,2.0,20.0
waitingline-shuffle,4.0,16.0
waitingline-shuffle,8.0,0.0
waitingline-shuffle,16.0,1.0
waitingline-shuffle,32.0,0.0
waitingline-sort,1.0,47.0
waitingline-sort,2.0,29.0
waitingline-sort,4.0,28.0
waitingline-sort,8.0,6.0
waitingline-sort,16.0,0.0
waitingline-sort,32.0,1.0
avg,1.0,82.8453
avg,2.0,69.4292
avg,4.0,58.329
avg,8.0,42.024
avg,16.0,30.0741
avg,32.0,20.5839
