task,tps,accuracy
puzzles-latin_square,2.2252682340527965,28.000000000000004
puzzles-latin_square,2.6344494278722808,23.0
puzzles-latin_square,3.592904711250222,25.0
puzzles-latin_square,4.569201465201464,27.0
puzzles-latin_square,5.444084804084804,27.0
puzzles-sudoku,3.2773636141288534,26.0
puzzles-sudoku,3.6542632478632475,24.0
puzzles-sudoku,4.605616292204527,23.0
puzzles-sudoku,5.707856587856587,23.0
puzzles-sudoku,6.750689310689309,18.0
textwriting-paraphrasing,2.6663008246190056,98.0
textwriting-paraphrasing,3.0747257091189635,97.0
textwriting-paraphrasing,3.682676523046191,97.0
textwriting-paraphrasing,4.532395362463473,92.0
textwriting-paraphrasing,5.475964431930094,92.0
textwriting-summarization,1.7314635964446432,92.0
textwriting-summarization,1.9981826849349287,90.0
textwriting-summarization,2.310615160866185,85.0
textwriting-summarization,2.7741336076692114,83.0
textwriting-summarization,3.348641269801361,79.0
textwriting-w2s_easy,2.0248030111565654,96.0
textwriting-w2s_easy,2.250463362257051,94.0
textwriting-w2s_easy,2.6101882818222775,94.0
textwriting-w2s_easy,3.1294884293486045,90.0
textwriting-w2s_easy,3.740165295048052,86.0
textwriting-w2s_hard,1.6165875515557613,98.0
textwriting-w2s_hard,1.778138353730884,97.0
textwriting-w2s_hard,2.0315592657080583,95.0
textwriting-w2s_hard,2.368596019450592,88.0
textwriting-w2s_hard,2.817700369967002,79.0
textwriting-w2s_medium,2.0205285313520034,96.0
textwriting-w2s_medium,2.2436274230934963,97.0
textwriting-w2s_medium,2.5917211542746776,97.0
textwriting-w2s_medium,3.0741256282491984,92.0
textwriting-w2s_medium,3.7482989112710476,85.0
waitingline-copy,6.0501232101232105,100.0
waitingline-copy,7.360253968253969,100.0
waitingline-copy,7.955809523809526,100.0
waitingline-copy,8.657523809523811,100.0
waitingline-copy,9.237333333333334,100.0
waitingline-insert_index,4.3925772005772,84.0
waitingline-insert_index,5.268825396825398,82.0
waitingline-insert_index,5.846984126984128,75.0
waitingline-insert_index,6.3839999999999995,70.0
waitingline-insert_index,6.950095238095238,64.0
waitingline-insert_random,4.41499567099567,94.0
waitingline-insert_random,5.315047619047619,89.0
waitingline-insert_random,6.06247619047619,87.0
waitingline-insert_random,6.530285714285714,87.0
waitingline-insert_random,7.269333333333334,85.0
waitingline-remove_index,6.355316683316684,80.0
waitingline-remove_index,7.616380952380953,78.0
waitingline-remove_index,8.042666666666667,78.0
waitingline-remove_index,8.82057142857143,73.0
waitingline-remove_index,9.402666666666667,72.0
waitingline-remove_random,3.9681811521811516,75.0
waitingline-remove_random,4.716571428571428,75.0
waitingline-remove_random,5.515428571428571,72.0
