task,tps,accuracy
puzzles-latin_square,1.4609,35.0
puzzles-latin_square,2.5859,29.0
puzzles-latin_square,3.3109,25.0
puzzles-latin_square,4.2781,20.0
puzzles-latin_square,7.99,1.0
puzzles-latin_square,17.6309,0.0
puzzles-latin_square,45.0704,0.0
puzzles-sudoku,2.1092,28.7037
puzzles-sudoku,2.7053,25.9259
puzzles-sudoku,3.7545,25.9259
puzzles-sudoku,4.2431,15.7407
puzzles-sudoku,6.4478,8.3333
puzzles-sudoku,23.1946,0.9259
puzzles-sudoku,64.0,0.0
textwriting-paraphrasing,1.1258,96.0
textwriting-paraphrasing,1.1896,96.0
textwriting-paraphrasing,1.6855,91.0
textwriting-paraphrasing,3.2389,83.0
textwriting-paraphrasing,5.0235,66.0
textwriting-paraphrasing,9.6677,37.0
textwriting-paraphrasing,24.4275,14.0
textwriting-summarization,1.2683,81.0
textwriting-summarization,1.324,78.0
textwriting-summarization,1.5109,75.0
textwriting-summarization,2.1614,62.0
textwriting-summarization,3.9288,51.0
textwriting-summarization,6.8376,31.0
textwriting-summarization,16.2437,11.0
textwriting-w2s_easy,1.0278,96.0
textwriting-w2s_easy,1.0483,95.0
textwriting-w2s_easy,1.1536,86.0
textwriting-w2s_easy,1.8265,69.0
textwriting-w2s_easy,4.4599,49.0
textwriting-w2s_easy,11.5732,2.0
textwriting-w2s_easy,21.5488,5.0
textwriting-w2s_hard,1.0745,79.0
textwriting-w2s_hard,1.0877,79.0
textwriting-w2s_hard,1.2246,57.0
textwriting-w2s_hard,1.9167,27.0
textwriting-w2s_hard,4.0201,16.0
textwriting-w2s_hard,8.4993,3.0
textwriting-w2s_hard,20.712,1.0
textwriting-w2s_medium,1.0326,91.0
textwriting-w2s_medium,1.0459,92.0
textwriting-w2s_medium,1.1596,69.0
textwriting-w2s_medium,1.8203,51.0
textwriting-w2s_medium,4.3419,23.0
textwriting-w2s_medium,10.7383,1.0
textwriting-w2s_medium,21.3333,4.0
waitingline-copy,2.8394,100.0
waitingline-copy,3.7166,100.0
waitingline-copy,4.1184,100.0
waitingline-copy,4.7059,100.0
waitingline-copy,6.4516,100.0
waitingline-copy,11.4695,100.0
waitingline-copy,32.0,98.0
waitingline-insert_index,2.0956,58.0
waitingline-insert_index,3.4115,55.0
waitingline-insert_index,4.0712,55.0
waitingline-insert_index,5.9259,52.0
waitingline-insert_index,8.0,50.0
waitingline-insert_index,13.8528,43.0
waitingline-insert_index,32.0,19.0
waitingline-insert_random,1.5109,82.0
waitingline-insert_random,2.0725,72.0
waitingline-insert_random,3.7647,68.0
waitingline-insert_random,4.6921,51.0
waitingline-insert_random,7.619,36.0
waitingline-insert_random,11.4695,30.0
waitingline-insert_random,31.3725,1.0
waitingline-remove_index,2.2504,41.0
waitingline-remove_index,3.482,41.0
waitingline-remove_index,4.1451,42.0
waitingline-remove_index,4.8706,35.0
waitingline-remove_index,7.9404,37.0
waitingline-remove_index,13.3333,36.0
waitingline-remove_index,32.0,8.0
waitingline-remove_random,1.9963,76.0
waitingline-remove_random,2.5518,74.0
waitingline-remove_random,3.6613,74.0
waitingline-remove_random,4.1026,68.0
waitingline-remove_random,6.3366,61.0
waitingline-remove_random,10.8108,45.0
waitingline-remove_random,32.0,5.0
waitingline-replace_index,2.5827,40.0
waitingline-replace_index,3.5874,41.0
waitingline-replace_index,4.1344,40.0
waitingline-replace_index,5.4054,38.0
waitingline-replace_index,8.0,40.0
waitingline-replace_index,15.2381,33.0
waitingline-replace_index,32.0,25.0
waitingline-replace_random,2.2631,70.0
waitingline-replace_random,3.0948,70.0
waitingline-replace_random,3.936,77.0
waitingline-replace_random,5.4422,61.0
waitingline-replace_random,8.0,54.0
waitingline-replace_random,11.4286,45.0
waitingline-replace_random,32.0,8.0
waitingline-reverse,1.8359,99.0
waitingline-reverse,2.9685,99.0
waitingline-reverse,4.0353,98.0
waitingline-reverse,5.0157,98.0
waitingline-reverse,7.565,96.0
waitingline-reverse,10.9215,94.0
waitingline-reverse,25.8065,31.0
waitingline-shuffle,1.8391,38.0
waitingline-shuffle,2.9091,21.0
waitingline-shuffle,3.9168,22.0
waitingline-shuffle,4.5455,16.0
waitingline-shuffle,7.4592,4.0
waitingline-shuffle,10.9966,6.0
waitingline-shuffle,29.6296,3.0
waitingline-sort,2.0228,29.0
waitingline-sort,2.8394,22.0
waitingline-sort,3.5516,18.0
waitingline-sort,4.336,21.0
waitingline-sort,6.0038,22.0
waitingline-sort,11.0345,15.0
waitingline-sort,26.8908,3.0
avg,1.7844,67.0414
avg,2.4483,64.1133
avg,3.1256,60.1721
avg,4.031,51.0436
avg,6.4463,42.0196
avg,12.2763,30.7015
avg,30.5315,13.8824
