task,tps,accuracy
puzzles-latin_square,1.3988,50.0
puzzles-latin_square,2.5747,48.0
puzzles-latin_square,3.5191,43.0
puzzles-latin_square,5.3968,32.0
puzzles-latin_square,8.323,18.0
puzzles-latin_square,12.4681,6.0
puzzles-sudoku,1.9694,36.1111
puzzles-sudoku,3.9379,36.1111
puzzles-sudoku,5.5998,37.037
puzzles-sudoku,8.5742,35.1852
puzzles-sudoku,11.8054,28.7037
puzzles-sudoku,17.854,12.037
textwriting-paraphrasing,1.8591,99.0
textwriting-paraphrasing,4.0535,99.0
textwriting-paraphrasing,5.4733,99.0
textwriting-paraphrasing,7.0775,97.0
textwriting-paraphrasing,9.0399,92.0
textwriting-paraphrasing,13.6667,79.0
textwriting-summarization,1.1396,92.0
textwriting-summarization,2.0449,90.0
textwriting-summarization,2.8112,90.0
textwriting-summarization,4.1205,87.0
textwriting-summarization,5.5372,83.0
textwriting-summarization,7.8798,60.0
textwriting-w2s_easy,1.4204,100.0
textwriting-w2s_easy,2.3975,100.0
textwriting-w2s_easy,3.008,100.0
textwriting-w2s_easy,3.9147,100.0
textwriting-w2s_easy,5.2265,97.0
textwriting-w2s_easy,7.4033,84.0
textwriting-w2s_hard,1.0501,100.0
textwriting-w2s_hard,1.4711,100.0
textwriting-w2s_hard,1.6955,99.0
textwriting-w2s_hard,1.9789,99.0
textwriting-w2s_hard,2.3948,95.0
textwriting-w2s_hard,3.0665,86.0
textwriting-w2s_medium,1.2382,100.0
textwriting-w2s_medium,1.8766,100.0
textwriting-w2s_medium,2.1828,100.0
textwriting-w2s_medium,2.5723,98.0
textwriting-w2s_medium,3.1679,96.0
textwriting-w2s_medium,4.3422,93.0
waitingline-copy,9.1801,100.0
waitingline-copy,22.08,100.0
waitingline-copy,26.56,100.0
waitingline-copy,28.64,100.0
waitingline-copy,30.56,100.0
waitingline-copy,31.04,100.0
waitingline-insert_index,3.2974,60.0
waitingline-insert_index,11.6697,53.0
waitingline-insert_index,12.6737,49.0
waitingline-insert_index,14.0541,41.0
waitingline-insert_index,15.8453,34.0
waitingline-insert_index,18.0587,31.0
waitingline-insert_random,1.5572,99.0
waitingline-insert_random,4.9071,95.0
waitingline-insert_random,7.3587,83.0
waitingline-insert_random,9.2026,61.0
waitingline-insert_random,10.3761,31.0
waitingline-insert_random,12.3573,14.0
waitingline-remove_index,2.5654,43.0
waitingline-remove_index,10.691,43.0
waitingline-remove_index,12.8984,39.0
waitingline-remove_index,14.84,34.0
waitingline-remove_index,16.704,29.0
waitingline-remove_index,18.4373,18.0
waitingline-remove_random,1.76,99.0
waitingline-remove_random,5.2272,97.0
waitingline-remove_random,7.6314,90.0
waitingline-remove_random,9.5981,63.0
waitingline-remove_random,11.904,52.0
waitingline-remove_random,13.9733,41.0
waitingline-replace_index,4.6991,42.0
waitingline-replace_index,15.3173,41.0
waitingline-replace_index,18.4267,39.0
waitingline-replace_index,21.0933,38.0
waitingline-replace_index,22.72,33.0
waitingline-replace_index,25.5467,28.0
waitingline-replace_random,1.5901,99.0
waitingline-replace_random,6.1363,96.0
waitingline-replace_random,9.8177,80.0
waitingline-replace_random,11.8933,58.0
waitingline-replace_random,13.6267,46.0
waitingline-replace_random,15.7067,32.0
waitingline-reverse,5.2834,99.0
waitingline-reverse,13.8773,97.0
waitingline-reverse,16.0907,82.0
waitingline-reverse,16.96,59.0
waitingline-reverse,17.8933,50.0
waitingline-reverse,19.3333,36.0
waitingline-shuffle,2.3565,100.0
waitingline-shuffle,4.4804,98.0
waitingline-shuffle,5.3317,74.0
waitingline-shuffle,7.6913,41.0
waitingline-shuffle,9.9948,21.0
waitingline-shuffle,12.7878,6.0
waitingline-sort,1.9761,32.0
waitingline-sort,6.7922,26.0
waitingline-sort,8.5386,18.0
waitingline-sort,10.5307,12.0
waitingline-sort,11.872,11.0
waitingline-sort,14.1707,5.0
avg,2.6083,79.4183
avg,7.0315,77.5948
avg,8.801,71.8845
avg,10.4787,62.0697
avg,12.1759,53.9237
avg,14.5937,43.0022
