task,tps,accuracy
puzzles-latin_square,1.0,37.0
puzzles-latin_square,2.0,11.0
puzzles-latin_square,2.6667,5.0
puzzles-latin_square,4.0,2.0
puzzles-latin_square,6.4,0.0
puzzles-latin_square,10.6667,1.0
puzzles-sudoku,1.0,0.9259
puzzles-sudoku,2.0,0.0
puzzles-sudoku,2.6667,0.9259
puzzles-sudoku,4.0,3.7037
puzzles-sudoku,6.4,13.8889
puzzles-sudoku,10.6667,10.1852
textwriting-paraphrasing,1.0,95.0
textwriting-paraphrasing,2.0,72.0
textwriting-paraphrasing,2.6667,63.0
textwriting-paraphrasing,4.0,57.0
textwriting-paraphrasing,6.4,60.0
textwriting-paraphrasing,10.6667,60.0
textwriting-summarization,1.0,88.5
textwriting-summarization,2.0,38.0
textwriting-summarization,2.6667,31.0
textwriting-summarization,4.0,19.0
textwriting-summarization,6.4,34.0
textwriting-summarization,10.6667,36.0
textwriting-w2s_easy,1.0,87.0
textwriting-w2s_easy,2.0,25.0
textwriting-w2s_easy,2.6667,26.0
textwriting-w2s_easy,4.0,20.0
textwriting-w2s_easy,6.4,33.0
textwriting-w2s_easy,10.6667,29.0
textwriting-w2s_hard,1.0,67.5
textwriting-w2s_hard,2.0,3.0
textwriting-w2s_hard,2.6667,1.0
textwriting-w2s_hard,4.0,6.0
textwriting-w2s_hard,6.4,17.0
textwriting-w2s_hard,10.6667,8.0
textwriting-w2s_medium,1.0,75.0
textwriting-w2s_medium,2.0,12.0
textwriting-w2s_medium,2.6667,13.0
textwriting-w2s_medium,4.0,7.0
textwriting-w2s_medium,6.4,11.0
textwriting-w2s_medium,10.6667,15.0
waitingline-copy,1.0,100.0
waitingline-copy,2.0,100.0
waitingline-copy,2.6667,99.0
waitingline-copy,4.0,100.0
waitingline-copy,6.4,100.0
waitingline-insert_index,1.0,55.0
waitingline-insert_index,2.0,55.0
waitingline-insert_index,2.6667,53.0
waitingline-insert_index,4.0,53.0
waitingline-insert_index,6.4,53.0
waitingline-insert_random,1.0,85.0
waitingline-insert_random,2.0,77.0
waitingline-insert_random,2.6667,39.0
waitingline-insert_random,4.0,17.0
waitingline-insert_random,6.4,8.0
waitingline-remove_index,1.0,45.0
waitingline-remove_index,2.0,37.0
waitingline-remove_index,2.6667,35.0
waitingline-remove_index,4.0,36.0
waitingline-remove_index,6.4,48.0
waitingline-remove_random,1.0,78.0
waitingline-remove_random,2.0,68.0
waitingline-remove_random,2.6667,63.0
waitingline-remove_random,4.0,51.0
waitingline-remove_random,6.4,66.0
waitingline-replace_index,1.0,32.0
waitingline-replace_index,2.0,35.0
waitingline-replace_index,2.6667,35.0
waitingline-replace_index,4.0,39.0
waitingline-replace_index,6.4,33.0
waitingline-replace_random,1.0,82.0
waitingline-replace_random,2.0,79.0
waitingline-replace_random,2.6667,61.0
waitingline-replace_random,4.0,45.0
waitingline-replace_random,6.4,33.0
waitingline-reverse,1.0,100.0
waitingline-reverse,2.0,98.0
waitingline-reverse,2.6667,91.0
waitingline-reverse,4.0,75.0
waitingline-reverse,6.4,96.0
waitingline-shuffle,1.0,99.0
waitingline-shuffle,2.0,81.0
waitingline-shuffle,2.6667,29.0
waitingline-shuffle,4.0,1.0
waitingline-shuffle,6.4,1.0
waitingline-sort,1.0,47.0
waitingline-sort,2.0,44.0
waitingline-sort,2.6667,29.0
waitingline-sort,4.0,17.0
waitingline-sort,6.4,18.0
avg,1.0,69.0545
avg,2.0,49.1176
avg,2.6667,39.6427
avg,4.0,32.2767
avg,6.4,36.7582
