task,tps,accuracy
puzzles-latin_square,1.0,51.0
puzzles-latin_square,1.7539,51.0
puzzles-latin_square,1.8885,50.0
puzzles-latin_square,2.0151,51.0
puzzles-latin_square,2.2077,47.0
puzzles-latin_square,2.4961,23.0
puzzles-sudoku,1.0,37.963
puzzles-sudoku,3.1447,37.963
puzzles-sudoku,3.3103,37.963
puzzles-sudoku,3.5537,37.037
puzzles-sudoku,3.9839,29.6296
puzzles-sudoku,4.6957,26.8519
textwriting-paraphrasing,1.0,98.0
textwriting-paraphrasing,2.4187,98.0
textwriting-paraphrasing,2.66,98.0
textwriting-paraphrasing,2.87,98.0
textwriting-paraphrasing,3.1793,100.0
textwriting-paraphrasing,3.5301,97.0
textwriting-summarization,1.0,92.0
textwriting-summarization,1.3077,92.0
textwriting-summarization,1.4172,92.0
textwriting-summarization,1.5116,92.0
textwriting-summarization,1.5952,89.0
textwriting-summarization,1.6994,83.0
textwriting-w2s_easy,1.0,99.0
textwriting-w2s_easy,1.826,99.0
textwriting-w2s_easy,2.0196,99.0
textwriting-w2s_easy,2.1739,99.0
textwriting-w2s_easy,2.3273,99.0
textwriting-w2s_easy,2.4971,95.0
textwriting-w2s_hard,1.0,99.0
textwriting-w2s_hard,1.1626,99.0
textwriting-w2s_hard,1.2963,99.0
textwriting-w2s_hard,1.3995,98.0
textwriting-w2s_hard,1.5034,100.0
textwriting-w2s_hard,1.6117,97.0
textwriting-w2s_medium,1.0,100.0
textwriting-w2s_medium,1.5191,100.0
textwriting-w2s_medium,1.6963,100.0
textwriting-w2s_medium,1.8023,100.0
textwriting-w2s_medium,1.911,99.0
textwriting-w2s_medium,2.0343,99.0
waitingline-copy,1.0,100.0
waitingline-copy,6.8522,100.0
waitingline-copy,6.8817,100.0
waitingline-insert_index,1.0,60.0
waitingline-insert_index,3.397,61.0
waitingline-insert_index,3.653,61.0
waitingline-insert_index,3.7825,59.0
waitingline-insert_index,3.796,60.0
waitingline-insert_index,3.8462,58.0
waitingline-insert_random,1.0,99.0
waitingline-insert_random,1.8935,98.0
waitingline-insert_random,2.1918,90.0
waitingline-insert_random,2.4521,82.0
waitingline-insert_random,2.5827,64.0
waitingline-insert_random,2.6512,49.0
waitingline-remove_index,1.0,43.0
waitingline-remove_index,3.6364,44.0
waitingline-remove_index,3.8278,44.0
waitingline-remove_index,3.912,44.0
waitingline-remove_index,4.1026,41.0
waitingline-remove_index,4.2497,36.0
waitingline-remove_random,1.0,99.0
waitingline-remove_random,2.3495,98.0
waitingline-remove_random,2.8319,95.0
waitingline-remove_random,3.1746,88.0
waitingline-remove_random,3.4557,74.0
waitingline-remove_random,3.7296,57.0
waitingline-replace_index,1.0,43.0
waitingline-replace_index,4.8193,42.0
waitingline-replace_index,4.908,42.0
waitingline-replace_index,4.9155,42.0
waitingline-replace_index,4.9536,42.0
waitingline-replace_index,4.9689,41.0
waitingline-replace_random,1.0,99.0
waitingline-replace_random,2.3512,99.0
waitingline-replace_random,2.7826,95.0
waitingline-replace_random,3.0476,87.0
waitingline-replace_random,3.2421,72.0
waitingline-replace_random,3.3613,59.0
waitingline-reverse,1.0,99.0
waitingline-reverse,4.6921,99.0
waitingline-reverse,4.7976,98.0
waitingline-reverse,4.878,96.0
waitingline-reverse,4.9383,95.0
waitingline-reverse,4.9844,90.0
waitingline-shuffle,1.0,100.0
waitingline-shuffle,2.2939,100.0
waitingline-shuffle,2.3581,94.0
waitingline-shuffle,2.4883,82.0
waitingline-shuffle,2.773,59.0
waitingline-shuffle,3.1778,36.0
waitingline-sort,1.0,31.0
waitingline-sort,2.3071,27.0
waitingline-sort,2.6273,24.0
waitingline-sort,2.8219,20.0
waitingline-sort,2.9991,18.0
waitingline-sort,3.1008,17.0
avg,1.0,79.4096
avg,2.8073,79.1155
avg,3.0087,77.5861
