task,tps,accuracy
puzzles-latin_square,1.0,9.0
puzzles-latin_square,2.0,8.0
puzzles-latin_square,4.0,4.0
puzzles-latin_square,8.0,5.0
puzzles-latin_square,16.0,0.0
puzzles-latin_square,32.0,0.0
puzzles-sudoku,1.0,10.0
puzzles-sudoku,2.0,13.0
puzzles-sudoku,4.0,10.0
puzzles-sudoku,8.0,11.0
puzzles-sudoku,16.0,4.0
puzzles-sudoku,32.0,3.0
textwriting-paraphrasing,1.0,98.0
textwriting-paraphrasing,2.0,94.0
textwriting-paraphrasing,4.0,89.0
textwriting-paraphrasing,8.0,83.0
textwriting-paraphrasing,16.0,53.0
textwriting-paraphrasing,32.0,27.0
textwriting-summarization,1.0,93.0
textwriting-summarization,2.0,90.0
textwriting-summarization,4.0,75.0
textwriting-summarization,8.0,65.0
textwriting-summarization,16.0,28.999999999999996
textwriting-summarization,32.0,11.0
textwriting-w2s_easy,1.0,100.0
textwriting-w2s_easy,2.0,95.0
textwriting-w2s_easy,4.0,94.0
textwriting-w2s_easy,8.0,76.0
textwriting-w2s_easy,16.0,36.0
textwriting-w2s_easy,32.0,22.0
textwriting-w2s_hard,1.0,95.0
textwriting-w2s_hard,2.0,94.0
textwriting-w2s_hard,4.0,61.0
textwriting-w2s_hard,8.0,38.0
textwriting-w2s_hard,16.0,13.0
textwriting-w2s_hard,32.0,16.0
textwriting-w2s_medium,1.0,100.0
textwriting-w2s_medium,2.0,92.0
textwriting-w2s_medium,4.0,85.0
textwriting-w2s_medium,8.0,68.0
textwriting-w2s_medium,16.0,23.0
textwriting-w2s_medium,32.0,7.000000000000001
waitingline-copy,1.0,99.0
waitingline-copy,2.0,99.0
waitingline-copy,4.0,100.0
waitingline-copy,8.0,100.0
waitingline-copy,16.0,100.0
waitingline-copy,32.0,98.0
waitingline-insert_index,1.0,57.99999999999999
waitingline-insert_index,2.0,51.0
waitingline-insert_index,4.0,51.0
waitingline-insert_index,8.0,33.0
waitingline-insert_index,16.0,23.0
waitingline-insert_index,32.0,11.0
waitingline-insert_random,1.0,69.0
waitingline-insert_random,2.0,56.00000000000001
waitingline-insert_random,4.0,38.0
waitingline-insert_random,8.0,31.0
waitingline-insert_random,16.0,8.0
waitingline-insert_random,32.0,0.0
waitingline-remove_index,1.0,74.0
waitingline-remove_index,2.0,79.0
waitingline-remove_index,4.0,75.0
waitingline-remove_index,8.0,57.99999999999999
waitingline-remove_index,16.0,40.0
waitingline-remove_index,32.0,18.0
waitingline-remove_random,1.0,76.0
waitingline-remove_random,2.0,73.0
waitingline-remove_random,4.0,56.99999999999999
waitingline-remove_random,8.0,48.0
waitingline-remove_random,16.0,19.0
waitingline-remove_random,32.0,9.0
waitingline-replace_index,1.0,90.0
waitingline-replace_index,2.0,88.0
waitingline-replace_index,4.0,84.0
waitingline-replace_index,8.0,81.0
waitingline-replace_index,16.0,65.0
waitingline-replace_index,32.0,50.0
waitingline-replace_random,1.0,92.0
waitingline-replace_random,2.0,78.0
waitingline-replace_random,4.0,76.0
waitingline-replace_random,8.0,57.99999999999999
waitingline-replace_random,16.0,38.0
waitingline-replace_random,32.0,13.0
waitingline-reverse,1.0,75.0
waitingline-reverse,2.0,63.0
waitingline-reverse,4.0,56.00000000000001
waitingline-reverse,8.0,45.0
waitingline-reverse,16.0,28.000000000000004
waitingline-reverse,32.0,25.0
waitingline-shuffle,1.0,100.0
waitingline-shuffle,2.0,84.0
waitingline-shuffle,4.0,53.0
waitingline-shuffle,8.0,33.0
waitingline-shuffle,16.0,7.000000000000001
waitingline-shuffle,32.0,0.0
waitingline-sort,1.0,28.999999999999996
waitingline-sort,2.0,26.0
waitingline-sort,4.0,17.0
waitingline-sort,8.0,10.0
waitingline-sort,16.0,3.0
waitingline-sort,32.0,1.0
avg,1.0,74.52941176470588
avg,2.0,69.58823529411765
avg,4.0,60.294117647058826
avg,8.0,49.588235294117645
avg,16.0,28.764705882352942
avg,32.0,18.294117647058822
