task,tps,accuracy
puzzles-latin_square,1.416385888277374,49.0
puzzles-latin_square,2.4715727526802618,45.0
puzzles-latin_square,3.156488399889271,43.0
puzzles-latin_square,4.632067099350448,38.0
puzzles-latin_square,7.148427767622816,23.0
puzzles-latin_square,10.099093795093793,6.0
puzzles-sudoku,1.906317843879772,25.0
puzzles-sudoku,3.902880516800021,26.0
puzzles-sudoku,4.85506843483314,26.0
puzzles-sudoku,6.768277812314965,25.0
puzzles-sudoku,8.446414459293715,27.0
puzzles-sudoku,10.342984126984128,18.0
textwriting-paraphrasing,1.7944908826321642,99.0
textwriting-paraphrasing,3.8101824512858737,99.0
textwriting-paraphrasing,4.877097869729205,99.0
textwriting-paraphrasing,6.452997633178008,100.0
textwriting-paraphrasing,7.7074643335928705,90.0
textwriting-paraphrasing,9.46640582809004,75.0
textwriting-summarization,1.1350037635122494,95.0
textwriting-summarization,2.0215805037453403,94.0
textwriting-summarization,2.8403822145387045,94.0
textwriting-summarization,3.7573105115379333,89.0
textwriting-summarization,4.807599154896834,85.0
textwriting-summarization,6.702361154311893,66.0
textwriting-w2s_easy,1.4185479350691983,100.0
textwriting-w2s_easy,2.4034307915712114,100.0
textwriting-w2s_easy,3.0022027080149223,100.0
textwriting-w2s_easy,3.921754268055148,100.0
textwriting-w2s_easy,5.201841422423465,94.0
textwriting-w2s_easy,7.098739312287299,84.0
textwriting-w2s_hard,1.0490627246352848,98.0
textwriting-w2s_hard,1.46795408107729,98.0
textwriting-w2s_hard,1.689500253496894,98.0
textwriting-w2s_hard,1.9636714114883254,97.0
textwriting-w2s_hard,2.3552069443487165,91.0
textwriting-w2s_hard,3.051764006261105,85.0
textwriting-w2s_medium,1.2356160721669058,99.0
textwriting-w2s_medium,1.8797560191179656,99.0
textwriting-w2s_medium,2.1880030942208784,99.0
textwriting-w2s_medium,2.5734186364792944,98.0
textwriting-w2s_medium,3.139687393649112,96.0
textwriting-w2s_medium,4.283951745835713,93.0
waitingline-copy,5.18336507936508,100.0
waitingline-copy,5.333333333333335,100.0
waitingline-copy,5.333333333333335,100.0
waitingline-copy,5.333333333333335,100.0
waitingline-copy,5.333333333333335,100.0
waitingline-copy,5.333333333333335,100.0
waitingline-insert_index,2.043019440747803,90.0
waitingline-insert_index,5.253333333333334,80.0
waitingline-insert_index,5.277714285714287,59.0
waitingline-insert_index,5.320000000000001,50.0
waitingline-insert_index,5.3257142857142865,37.0
waitingline-insert_index,5.333333333333335,20.0
waitingline-insert_random,1.5480641451847563,100.0
waitingline-insert_random,4.802901098901098,99.0
waitingline-insert_random,5.2537142857142864,91.0
waitingline-insert_random,5.269206349206351,61.0
waitingline-insert_random,5.302222222222224,46.0
waitingline-insert_random,5.333333333333335,24.0
waitingline-remove_index,2.52565880458862,89.0
waitingline-remove_index,5.279365079365081,88.0
waitingline-remove_index,5.333333333333335,70.0
waitingline-remove_index,5.333333333333335,76.0
waitingline-remove_index,5.333333333333335,34.0
waitingline-remove_index,5.333333333333335,54.0
waitingline-remove_random,1.7629911354180923,96.0
waitingline-remove_random,4.235462446050681,96.0
waitingline-remove_random,5.07456277056277,92.0
waitingline-remove_random,5.207111111111113,48.0
waitingline-remove_random,5.312380952380954,77.0
waitingline-remove_random,5.315555555555557,50.0
waitingline-replace_index,4.119045399045399,92.0
waitingline-replace_index,5.333333333333335,74.0
waitingline-replace_index,5.333333333333335,79.0
waitingline-replace_index,5.333333333333335,60.0
waitingline-replace_index,5.333333333333335,67.0
waitingline-replace_index,5.333333333333335,87.0
waitingline-replace_random,1.7480052775192663,100.0
waitingline-replace_random,4.856237984237984,98.0
waitingline-replace_random,5.312380952380954,90.0
waitingline-replace_random,5.333333333333335,76.0
waitingline-replace_random,5.333333333333335,44.0
waitingline-replace_random,5.333333333333335,59.0
waitingline-reverse,4.602126135302606,99.0
waitingline-reverse,5.333333333333335,57.99999999999999
waitingline-reverse,5.333333333333335,79.0
waitingline-reverse,5.333333333333335,31.0
waitingline-reverse,5.333333333333335,42.0
waitingline-reverse,5.333333333333335,92.0
waitingline-shuffle,2.412194634339203,100.0
waitingline-shuffle,3.919987567987568,97.0
waitingline-shuffle,4.220455988455989,78.0
waitingline-shuffle,4.605645021645022,43.0
waitingline-shuffle,5.090297258297258,18.0
waitingline-shuffle,5.274285714285716,9.0
waitingline-sort,2.1065277904162873,36.0
waitingline-sort,4.93740836940837,28.999999999999996
waitingline-sort,5.282424242424244,14.000000000000002
waitingline-sort,5.285714285714288,15.0
waitingline-sort,5.304380952380954,25.0
waitingline-sort,5.3079365079365095,7.000000000000001
avg,2.235671938358827,86.29411764705883
avg,3.9554148820918877,83.94117647058823
avg,4.3756050319568,78.11764705882354
avg,4.854653567530436,68.88235294117646
avg,5.39938362980634,58.411764705882355
avg,6.127527449148862,47.294117647058826
