task,tps,accuracy
puzzles-latin_square,1.0,49.0
puzzles-latin_square,2.2712502411183983,46.0
puzzles-latin_square,2.7452057968312773,45.0
puzzles-latin_square,3.6096226505852083,37.0
puzzles-latin_square,5.062621119918953,26.0
puzzles-latin_square,6.83087687407192,12.0
puzzles-sudoku,1.0,27.0
puzzles-sudoku,3.543890555952475,27.0
puzzles-sudoku,4.394001416540116,26.0
puzzles-sudoku,5.597352594429993,28.000000000000004
puzzles-sudoku,7.552460872460871,20.0
puzzles-sudoku,9.632808080808081,19.0
textwriting-paraphrasing,1.0,99.0
textwriting-paraphrasing,3.353230627786693,99.0
textwriting-paraphrasing,4.193760615756515,99.0
textwriting-paraphrasing,5.3425872257058735,99.0
textwriting-paraphrasing,6.438451152018738,92.0
textwriting-paraphrasing,7.794443818734198,89.0
textwriting-summarization,1.0,94.0
textwriting-summarization,1.941410034010303,94.0
textwriting-summarization,2.5421559136942142,93.0
textwriting-summarization,3.43011320921413,89.0
textwriting-summarization,4.377118405930229,91.0
textwriting-summarization,5.685816972588168,82.0
textwriting-w2s_easy,1.0,100.0
textwriting-w2s_easy,2.214678977316425,100.0
textwriting-w2s_easy,2.7001822062917307,100.0
textwriting-w2s_easy,3.3355432337131816,100.0
textwriting-w2s_easy,4.204997356422312,97.0
textwriting-w2s_easy,5.549704092410783,95.0
textwriting-w2s_hard,1.0,98.0
textwriting-w2s_hard,1.4252226850540293,98.0
textwriting-w2s_hard,1.6403956878862496,97.0
textwriting-w2s_hard,1.8811397379802015,97.0
textwriting-w2s_hard,2.177006346193181,93.0
textwriting-w2s_hard,2.663931623143481,87.0
textwriting-w2s_medium,1.0,99.0
textwriting-w2s_medium,1.7907834223049617,99.0
textwriting-w2s_medium,2.0516663674343207,99.0
textwriting-w2s_medium,2.363021620001715,97.0
textwriting-w2s_medium,2.8010781472566224,94.0
textwriting-w2s_medium,3.6468900462006393,95.0
waitingline-copy,1.0,99.0
waitingline-copy,10.58666666666667,100.0
waitingline-copy,10.66666666666667,100.0
waitingline-copy,10.66666666666667,100.0
waitingline-copy,10.66666666666667,100.0
waitingline-copy,10.66666666666667,100.0
waitingline-insert_index,1.0,91.0
waitingline-insert_index,8.199873015873017,85.0
waitingline-insert_index,8.875186147186147,67.0
waitingline-insert_index,9.326095238095238,64.0
waitingline-insert_index,9.501333333333331,56.99999999999999
waitingline-insert_index,9.98704761904762,55.00000000000001
waitingline-insert_random,1.0,100.0
waitingline-insert_random,5.298754578754579,100.0
waitingline-insert_random,7.188761904761903,94.0
waitingline-insert_random,8.055365079365078,69.0
waitingline-insert_random,8.44304761904762,56.99999999999999
waitingline-insert_random,9.366095238095237,49.0
waitingline-remove_index,1.0,89.0
waitingline-remove_index,7.179174603174604,87.0
waitingline-remove_index,8.408380952380952,83.0
waitingline-remove_index,9.226666666666667,78.0
waitingline-remove_index,9.482666666666667,73.0
waitingline-remove_index,9.877333333333333,68.0
waitingline-remove_random,1.0,96.0
waitingline-remove_random,4.1008522980287685,97.0
waitingline-remove_random,5.633419913419914,94.0
waitingline-remove_random,6.727619047619047,77.0
waitingline-remove_random,7.822222222222222,64.0
waitingline-remove_random,8.216415584415586,62.0
waitingline-replace_index,1.0,90.0
waitingline-replace_index,9.317333333333334,87.0
waitingline-replace_index,9.946666666666665,83.0
waitingline-replace_index,10.159999999999998,83.0
waitingline-replace_index,10.266666666666666,81.0
waitingline-replace_index,10.400000000000002,81.0
waitingline-replace_random,1.0,100.0
waitingline-replace_random,5.837825285825286,99.0
waitingline-replace_random,7.867936507936508,90.0
waitingline-replace_random,8.869333333333334,87.0
waitingline-replace_random,9.573333333333332,76.0
waitingline-replace_random,10.346666666666668,63.0
waitingline-reverse,1.0,99.0
waitingline-reverse,8.570666666666666,94.0
waitingline-reverse,9.664,82.0
waitingline-reverse,10.133333333333333,71.0
waitingline-reverse,10.32,70.0
waitingline-reverse,10.373333333333335,70.0
waitingline-shuffle,1.0,99.0
waitingline-shuffle,3.7207876567876563,97.0
waitingline-shuffle,4.802643578643579,79.0
waitingline-shuffle,5.600935064935065,41.0
waitingline-shuffle,7.05220202020202,21.0
waitingline-shuffle,8.693460317460318,13.0
waitingline-sort,1.0,36.0
waitingline-sort,5.812329004329006,28.999999999999996
waitingline-sort,7.255746031746032,28.999999999999996
waitingline-sort,7.7180952380952395,24.0
waitingline-sort,8.295757575757575,23.0
waitingline-sort,8.93104761904762,19.0
avg,1.0,86.17647058823529
avg,1.4252226850540293,98.0
avg,1.6403956878862496,97.0
avg,1.7907834223049617,99.0
avg,1.8811397379802015,97.0
avg,1.941410034010303,94.0
avg,2.0516663674343207,99.0
avg,2.177006346193181,93.0
avg,2.214678977316425,100.0
avg,2.2712502411183983,46.0
avg,2.363021620001715,97.0
avg,2.5421559136942142,93.0
avg,2.663931623143481,87.0
avg,2.7001822062917307,100.0
avg,2.7452057968312773,45.0
avg,2.8010781472566224,94.0
avg,3.3355432337131816,100.0
avg,3.353230627786693,99.0
avg,3.43011320921413,89.0
avg,3.543890555952475,27.0
avg,3.6096226505852083,37.0
avg,3.6468900462006393,95.0
avg,3.7207876567876563,97.0
avg,4.1008522980287685,97.0
avg,4.193760615756515,99.0
avg,4.204997356422312,97.0
avg,4.377118405930229,91.0
avg,4.394001416540116,26.0
avg,4.802643578643579,79.0
avg,5.062621119918953,26.0
avg,5.298754578754579,100.0
avg,5.3425872257058735,99.0
avg,5.549704092410783,95.0
avg,5.597352594429993,28.000000000000004
avg,5.600935064935065,41.0
avg,5.633419913419914,94.0
avg,5.685816972588168,82.0
avg,5.812329004329006,28.999999999999996
avg,5.837825285825286,99.0
avg,6.438451152018738,92.0
avg,6.727619047619047,77.0
avg,6.83087687407192,12.0
avg,7.05220202020202,21.0
avg,7.179174603174604,87.0
avg,7.188761904761903,94.0
avg,7.255746031746032,28.999999999999996
avg,7.552460872460871,20.0
avg,7.7180952380952395,24.0
avg,7.794443818734198,89.0
avg,7.822222222222222,64.0
avg,7.867936507936508,90.0
avg,8.055365079365078,69.0
avg,8.199873015873017,85.0
avg,8.216415584415586,62.0
avg,8.295757575757575,23.0
avg,8.408380952380952,83.0
avg,8.44304761904762,56.99999999999999
avg,8.570666666666666,94.0
avg,8.693460317460318,13.0
avg,8.869333333333334,87.0
avg,8.875186147186147,67.0
avg,8.93104761904762,19.0
avg,9.226666666666667,78.0
avg,9.317333333333334,87.0
avg,9.326095238095238,64.0
avg,9.366095238095237,49.0
avg,9.482666666666667,73.0
avg,9.501333333333331,56.99999999999999
avg,9.573333333333332,76.0
avg,9.632808080808081,19.0
avg,9.664,82.0
avg,9.877333333333333,68.0
avg,9.946666666666665,83.0
avg,9.98704761904762,55.00000000000001
avg,10.133333333333333,71.0
avg,10.159999999999998,83.0
avg,10.266666666666666,81.0
avg,10.32,70.0
avg,10.346666666666668,63.0
avg,10.373333333333335,70.0
avg,10.400000000000002,81.0
avg,10.58666666666667,100.0
avg,10.66666666666667,100.0
