task,tps,accuracy
puzzles-latin_square,1.3218,71.0
puzzles-latin_square,5.7194,49.0
puzzles-latin_square,6.7941,32.0
puzzles-latin_square,7.3227,18.0
puzzles-latin_square,8.4544,10.0
puzzles-latin_square,9.9071,5.0
puzzles-sudoku,0.9412,0.0
puzzles-sudoku,3.0857,0.0
puzzles-sudoku,4.2614,0.0
puzzles-sudoku,4.6608,0.0
puzzles-sudoku,5.1276,0.0
puzzles-sudoku,5.321,0.0
textwriting-paraphrasing,2.0138,99.0
textwriting-paraphrasing,6.524,96.0
textwriting-paraphrasing,8.637,94.0
textwriting-paraphrasing,10.5785,88.0
textwriting-paraphrasing,12.2841,87.0
textwriting-paraphrasing,13.3056,73.0
textwriting-summarization,1.2493,97.0
textwriting-summarization,2.1739,94.0
textwriting-summarization,2.6959,85.0
textwriting-summarization,3.2922,81.0
textwriting-summarization,3.9264,67.0
textwriting-summarization,4.5422,59.0
textwriting-w2s_easy,2.289,100.0
textwriting-w2s_easy,3.7449,99.0
textwriting-w2s_easy,5.12,99.0
textwriting-w2s_easy,7.0175,93.0
textwriting-w2s_easy,8.6253,88.0
textwriting-w2s_easy,10.3728,80.0
textwriting-w2s_hard,1.6878,97.0
textwriting-w2s_hard,2.2647,99.0
textwriting-w2s_hard,2.4644,93.0
textwriting-w2s_hard,3.0361,87.0
textwriting-w2s_hard,3.6117,77.0
textwriting-w2s_hard,4.4912,66.0
textwriting-w2s_medium,2.2346,100.0
textwriting-w2s_medium,2.6846,100.0
textwriting-w2s_medium,3.2421,100.0
textwriting-w2s_medium,4.1612,94.0
textwriting-w2s_medium,5.4054,86.0
textwriting-w2s_medium,7.119,75.0
waitingline-copy,0.829,100.0
waitingline-copy,16.6667,99.6
waitingline-insert_index,0.7512,49.0
waitingline-insert_index,10.1911,41.0
waitingline-insert_index,10.7383,36.0
waitingline-insert_index,12.3077,34.0
waitingline-insert_index,12.4514,32.0
waitingline-insert_index,12.9555,30.0
waitingline-insert_random,0.7882,76.0
waitingline-insert_random,4.812,54.0
waitingline-insert_random,6.3492,36.0
waitingline-insert_random,7.767,28.0
waitingline-insert_random,8.4656,21.0
waitingline-insert_random,8.5561,15.0
waitingline-remove_index,1.0349,47.0
waitingline-remove_index,15.8416,44.0
waitingline-remove_index,16.4103,43.0
waitingline-remove_index,17.2973,42.0
waitingline-remove_index,17.6796,42.5
waitingline-remove_random,1.1158,93.0
waitingline-remove_random,8.9136,89.0
waitingline-remove_random,10.7383,83.0
waitingline-remove_random,11.8519,76.0
waitingline-remove_random,12.9555,65.0
waitingline-remove_random,13.5021,55.0
waitingline-replace_index,0.8724,35.0
waitingline-replace_index,13.9738,37.0
waitingline-replace_index,14.7465,36.0
waitingline-replace_index,15.6863,35.0
waitingline-replace_index,16.2437,34.0
waitingline-replace_random,0.8686,98.0
waitingline-replace_random,7.7295,83.0
waitingline-replace_random,9.1954,62.0
waitingline-replace_random,10.1911,54.0
waitingline-replace_random,11.0727,48.0
waitingline-replace_random,11.5942,30.0
waitingline-reverse,1.0088,100.0
waitingline-reverse,15.6863,91.0
waitingline-reverse,16.0,90.0
waitingline-reverse,16.8421,82.0
waitingline-reverse,17.3913,78.0
waitingline-reverse,18.4971,79.0
waitingline-shuffle,0.9604,100.0
waitingline-shuffle,4.6377,84.0
waitingline-shuffle,4.9767,64.0
waitingline-shuffle,5.959,30.0
waitingline-shuffle,7.3563,26.0
waitingline-shuffle,8.4881,22.0
waitingline-sort,0.8377,42.0
waitingline-sort,6.4386,35.0
waitingline-sort,7.0485,26.0
waitingline-sort,8.3551,18.0
waitingline-sort,8.6022,12.0
waitingline-sort,9.6386,14.0
avg,1.2238,76.7059
avg,7.7111,70.2706
