task,tps,accuracy
puzzles-latin_square,1.3395,71.0
puzzles-latin_square,4.4912,60.0
puzzles-latin_square,4.9961,48.0
puzzles-latin_square,5.9925,30.0
puzzles-latin_square,7.601,6.0
puzzles-latin_square,7.7764,14.0
puzzles-sudoku,0.9412,0.0
puzzles-sudoku,2.1453,0.0
puzzles-sudoku,2.5926,0.0
puzzles-sudoku,3.3247,0.0
puzzles-sudoku,3.943,0.0
puzzles-sudoku,4.4223,0.0
textwriting-paraphrasing,2.0138,99.0
textwriting-paraphrasing,5.0,98.0
textwriting-paraphrasing,6.4777,96.0
textwriting-paraphrasing,8.1633,96.0
textwriting-paraphrasing,9.2486,87.0
textwriting-paraphrasing,11.0535,82.0
textwriting-summarization,1.2041,97.0
textwriting-summarization,1.6847,97.0
textwriting-summarization,1.9888,93.0
textwriting-summarization,2.3564,86.0
textwriting-summarization,2.748,78.0
textwriting-summarization,3.1636,68.0
textwriting-w2s_easy,2.289,99.0
textwriting-w2s_easy,2.7814,100.0
textwriting-w2s_easy,3.2939,98.0
textwriting-w2s_easy,4.0506,98.0
textwriting-w2s_easy,5.1323,96.0
textwriting-w2s_easy,6.4516,84.0
textwriting-w2s_hard,1.5209,96.0
textwriting-w2s_hard,1.9506,96.0
textwriting-w2s_hard,2.0415,96.0
textwriting-w2s_hard,2.1277,91.0
textwriting-w2s_hard,2.3155,91.0
textwriting-w2s_hard,2.6006,76.0
textwriting-w2s_medium,2.1858,100.0
textwriting-w2s_medium,2.3961,100.0
textwriting-w2s_medium,2.5088,100.0
textwriting-w2s_medium,2.7682,98.0
textwriting-w2s_medium,3.2553,91.0
textwriting-w2s_medium,3.8278,92.0
waitingline-copy,0.829,100.0
waitingline-copy,14.3498,100.0
waitingline-copy,14.6789,100.0
waitingline-copy,15.0943,100.0
waitingline-copy,15.4589,99.0
waitingline-copy,15.4589,99.0
waitingline-insert_index,0.7512,46.0
waitingline-insert_index,9.4955,33.0
waitingline-insert_index,10.2236,45.0
waitingline-insert_index,10.356,39.0
waitingline-insert_index,10.3896,28.0
waitingline-insert_index,10.4575,33.0
waitingline-insert_random,0.7759,71.0
waitingline-insert_random,3.5794,60.0
waitingline-insert_random,4.8048,46.0
waitingline-insert_random,5.8076,33.0
waitingline-insert_random,6.1657,22.0
waitingline-insert_random,7.5829,18.0
waitingline-remove_index,1.0349,46.0
waitingline-remove_index,12.4031,45.0
waitingline-remove_index,13.6752,44.0
waitingline-remove_index,14.2857,45.0
waitingline-remove_index,14.4796,44.0
waitingline-remove_index,14.4796,44.0
waitingline-remove_random,1.1158,95.0
waitingline-remove_random,6.7797,93.0
waitingline-remove_random,9.1168,85.0
waitingline-remove_random,9.5238,79.0
waitingline-remove_random,11.1111,66.0
waitingline-remove_random,11.6788,53.0
waitingline-replace_index,0.8724,34.0
waitingline-replace_index,10.596,34.0
waitingline-replace_index,12.2605,34.0
waitingline-replace_index,12.549,35.0
waitingline-replace_index,13.617,34.0
waitingline-replace_index,13.617,34.0
waitingline-replace_random,0.8686,94.0
waitingline-replace_random,5.4329,92.0
waitingline-replace_random,5.694,73.0
waitingline-replace_random,7.033,65.0
waitingline-replace_random,9.0141,51.0
waitingline-replace_random,10.0629,47.0
waitingline-reverse,1.0088,100.0
waitingline-reverse,12.6984,91.0
waitingline-reverse,13.278,89.0
waitingline-reverse,13.3891,94.0
waitingline-reverse,14.5455,82.0
waitingline-reverse,15.311,81.0
waitingline-shuffle,0.9604,100.0
waitingline-shuffle,4.0201,92.0
waitingline-shuffle,4.3956,79.0
waitingline-shuffle,5.2718,49.0
waitingline-shuffle,5.5846,31.0
waitingline-shuffle,7.033,32.0
waitingline-sort,0.8377,43.0
waitingline-sort,5.2632,39.0
waitingline-sort,5.9259,28.0
waitingline-sort,6.3116,21.0
waitingline-sort,6.823,17.0
waitingline-sort,8.1218,15.0
avg,1.2088,75.9412
avg,6.1804,72.3529
avg,6.9384,67.8824
avg,7.5533,62.2941
avg,8.3196,54.2941
avg,9.0058,51.2941
