task,tps,accuracy
puzzles-latin_square,0.7411,59.0
puzzles-latin_square,3.0103,62.0
puzzles-latin_square,3.6077,57.0
puzzles-latin_square,4.1344,56.0
puzzles-latin_square,4.7024,47.0
puzzles-latin_square,5.2245,28.0
puzzles-sudoku,0.9005,0.0
puzzles-sudoku,1.9834,0.0
puzzles-sudoku,2.3876,0.0
puzzles-sudoku,2.6895,0.0
puzzles-sudoku,2.8692,0.0
puzzles-sudoku,3.4235,0.0
textwriting-paraphrasing,0.7977,97.0
textwriting-paraphrasing,3.4261,97.0
textwriting-paraphrasing,4.1885,98.0
textwriting-paraphrasing,5.0354,98.0
textwriting-paraphrasing,5.8076,93.0
textwriting-paraphrasing,6.2076,93.0
textwriting-summarization,0.7611,92.0
textwriting-summarization,1.5459,91.0
textwriting-summarization,1.7788,90.0
textwriting-summarization,2.0151,87.0
textwriting-summarization,2.3409,85.0
textwriting-summarization,2.6556,71.0
textwriting-w2s_easy,0.6737,99.0
textwriting-w2s_easy,2.4316,99.0
textwriting-w2s_easy,2.7754,100.0
textwriting-w2s_easy,3.2307,99.0
textwriting-w2s_easy,3.8118,95.0
textwriting-w2s_easy,4.7904,89.0
textwriting-w2s_hard,0.6805,99.0
textwriting-w2s_hard,1.6398,99.0
textwriting-w2s_hard,1.7181,99.0
textwriting-w2s_hard,1.8333,98.0
textwriting-w2s_hard,1.9482,93.0
textwriting-w2s_hard,2.185,87.0
textwriting-w2s_medium,0.6737,100.0
textwriting-w2s_medium,1.9429,100.0
textwriting-w2s_medium,2.0473,100.0
textwriting-w2s_medium,2.2472,99.0
textwriting-w2s_medium,2.5549,97.0
textwriting-w2s_medium,3.0564,89.0
waitingline-copy,0.6855,100.0
waitingline-copy,7.7859,100.0
waitingline-copy,7.9602,100.0
waitingline-copy,7.98,100.0
waitingline-copy,8.0,100.0
waitingline-insert_index,0.6403,44.0
waitingline-insert_index,5.7866,44.0
waitingline-insert_index,6.0264,41.0
waitingline-insert_index,6.4386,41.0
waitingline-insert_index,6.5574,39.0
waitingline-insert_index,6.7086,39.0
waitingline-insert_random,0.6568,75.0
waitingline-insert_random,2.2551,74.0
waitingline-insert_random,2.7972,76.0
waitingline-insert_random,3.3613,72.0
waitingline-insert_random,3.6909,63.0
waitingline-insert_random,4.3243,52.0
waitingline-remove_index,0.6494,45.0
waitingline-remove_index,6.4909,44.0
waitingline-remove_index,6.9717,44.0
waitingline-remove_index,7.2893,43.0
waitingline-remove_index,7.4419,43.0
waitingline-remove_index,7.619,43.0
waitingline-remove_random,0.6105,87.0
waitingline-remove_random,4.4506,91.0
waitingline-remove_random,5.0,91.0
waitingline-remove_random,5.5944,84.0
waitingline-remove_random,5.6537,90.0
waitingline-remove_random,5.9369,81.0
waitingline-replace_index,0.6135,32.0
waitingline-replace_index,6.2992,31.0
waitingline-replace_index,6.6528,30.0
waitingline-replace_index,6.9114,30.0
waitingline-replace_index,7.0953,30.0
waitingline-replace_index,7.2893,30.0
waitingline-replace_random,0.6248,77.0
waitingline-replace_random,3.2,76.0
waitingline-replace_random,4.0252,79.0
waitingline-replace_random,4.578,70.0
waitingline-replace_random,5.2459,72.0
waitingline-replace_random,5.3333,67.0
waitingline-reverse,0.6354,100.0
waitingline-reverse,6.639,100.0
waitingline-reverse,6.9869,100.0
waitingline-reverse,7.1111,100.0
waitingline-reverse,7.1429,100.0
waitingline-reverse,7.2727,100.0
waitingline-shuffle,0.6245,73.0
waitingline-shuffle,2.5932,78.0
waitingline-shuffle,2.9385,79.0
waitingline-shuffle,3.2291,68.0
waitingline-shuffle,3.4973,47.0
waitingline-shuffle,4.2667,35.0
waitingline-sort,0.6598,47.0
waitingline-sort,3.4446,47.0
waitingline-sort,4.0921,49.0
waitingline-sort,4.6043,47.0
waitingline-sort,4.8706,47.0
waitingline-sort,4.9383,41.0
avg,0.684,72.1176
avg,3.8191,72.5294
avg,4.2326,72.5294
avg,4.6049,70.1176
avg,4.8959,67.1176
