task,tps,accuracy
puzzles-latin_square,0.7392,59.0
puzzles-latin_square,2.8533,60.0
puzzles-latin_square,3.4802,57.0
puzzles-latin_square,4.0252,62.0
puzzles-latin_square,4.4818,50.0
puzzles-latin_square,5.0157,44.0
puzzles-sudoku,0.8999,0.0
puzzles-sudoku,1.9083,0.0
puzzles-sudoku,2.2933,0.0
puzzles-sudoku,2.6749,0.0
puzzles-sudoku,2.9948,0.0
puzzles-sudoku,3.5464,0.0
textwriting-paraphrasing,0.7929,96.0
textwriting-paraphrasing,3.2653,96.0
textwriting-paraphrasing,3.9457,97.0
textwriting-paraphrasing,4.8048,100.0
textwriting-paraphrasing,5.4701,100.0
textwriting-paraphrasing,6.25,96.0
textwriting-summarization,0.7546,88.0
textwriting-summarization,1.5009,85.0
textwriting-summarization,1.7103,86.0
textwriting-summarization,1.9494,87.0
textwriting-summarization,2.248,87.0
textwriting-summarization,2.5437,82.0
textwriting-w2s_easy,0.6728,96.0
textwriting-w2s_easy,2.3979,97.0
textwriting-w2s_easy,2.7397,98.0
textwriting-w2s_easy,3.1825,96.0
textwriting-w2s_easy,3.7803,98.0
textwriting-w2s_easy,4.6444,94.0
textwriting-w2s_hard,0.6774,90.0
textwriting-w2s_hard,1.6516,89.0
textwriting-w2s_hard,1.7344,89.0
textwriting-w2s_hard,1.8545,90.0
textwriting-w2s_hard,1.9729,85.0
textwriting-w2s_hard,2.1398,88.0
textwriting-w2s_medium,0.6731,95.0
textwriting-w2s_medium,1.9388,94.0
textwriting-w2s_medium,2.0395,93.0
textwriting-w2s_medium,2.2222,94.0
textwriting-w2s_medium,2.5237,98.0
textwriting-w2s_medium,2.9851,92.0
waitingline-copy,0.6855,100.0
waitingline-copy,7.7859,100.0
waitingline-copy,7.9602,100.0
waitingline-copy,7.98,100.0
waitingline-copy,8.0,100.0
waitingline-insert_index,0.6418,43.0
waitingline-insert_index,5.7451,44.0
waitingline-insert_index,6.015,41.0
waitingline-insert_index,6.2622,41.0
waitingline-insert_index,6.4777,39.0
waitingline-insert_index,6.6528,40.0
waitingline-insert_random,0.6305,61.0
waitingline-insert_random,1.8497,57.0
waitingline-insert_random,2.2989,60.0
waitingline-insert_random,2.8881,68.0
waitingline-insert_random,3.0888,62.0
waitingline-insert_random,3.482,61.0
waitingline-remove_index,0.6492,45.0
waitingline-remove_index,6.4777,44.0
waitingline-remove_index,6.9565,44.0
waitingline-remove_index,7.033,43.0
waitingline-remove_index,7.191,43.0
waitingline-remove_index,7.3563,43.0
waitingline-remove_random,0.6099,89.0
waitingline-remove_random,4.3185,92.0
waitingline-remove_random,4.9307,90.0
waitingline-remove_random,5.4983,89.0
waitingline-remove_random,5.6239,89.0
waitingline-remove_random,6.0038,87.0
waitingline-replace_index,0.6134,32.0
waitingline-replace_index,6.2745,31.0
waitingline-replace_index,6.6253,31.0
waitingline-replace_index,6.8966,31.0
waitingline-replace_index,7.0485,31.0
waitingline-replace_index,7.2398,31.0
waitingline-replace_random,0.6194,77.0
waitingline-replace_random,3.0622,81.0
waitingline-replace_random,3.8323,81.0
waitingline-replace_random,4.4138,78.0
waitingline-replace_random,4.7761,74.0
waitingline-replace_random,5.0874,77.0
waitingline-reverse,0.6353,100.0
waitingline-reverse,6.639,100.0
waitingline-reverse,6.9869,100.0
waitingline-reverse,7.1111,100.0
waitingline-reverse,7.1749,100.0
waitingline-reverse,7.3059,100.0
waitingline-shuffle,0.5781,47.0
waitingline-shuffle,1.8991,51.0
waitingline-shuffle,2.0632,52.0
waitingline-shuffle,2.3022,56.0
waitingline-shuffle,2.4845,49.0
waitingline-shuffle,2.6037,45.0
waitingline-sort,0.648,45.0
waitingline-sort,3.1527,44.0
waitingline-sort,3.6571,46.0
waitingline-sort,4.1612,47.0
waitingline-sort,4.2497,41.0
waitingline-sort,4.2953,44.0
avg,0.6777,68.4118
avg,3.6894,68.5294
avg,4.0747,68.5294
avg,4.4271,69.5294
avg,4.6816,67.4118
