task,tps,accuracy
puzzles-latin_square,0.7901,14.0
puzzles-latin_square,1.5031,8.0
puzzles-latin_square,1.5598,6.0
puzzles-latin_square,1.5881,4.0
puzzles-latin_square,1.6076,3.0
puzzles-latin_square,1.6719,0.0
puzzles-sudoku,0.7901,0.0
puzzles-sudoku,1.7459,0.0
puzzles-sudoku,1.8516,0.0
puzzles-sudoku,1.8581,0.0
puzzles-sudoku,1.8696,0.0
puzzles-sudoku,1.8793,0.0
textwriting-paraphrasing,0.7901,36.0
textwriting-paraphrasing,1.4811,36.0
textwriting-paraphrasing,1.5034,39.0
textwriting-paraphrasing,1.5318,42.0
textwriting-paraphrasing,1.5466,54.0
textwriting-paraphrasing,1.581,63.0
textwriting-summarization,0.7901,28.0
textwriting-summarization,1.4512,28.0
textwriting-summarization,1.4736,30.0
textwriting-summarization,1.4791,46.0
textwriting-summarization,1.4829,37.0
textwriting-summarization,1.4911,52.0
textwriting-w2s_easy,0.7901,1.0
textwriting-w2s_easy,1.6701,1.0
textwriting-w2s_easy,1.6736,1.0
textwriting-w2s_easy,1.6789,1.0
textwriting-w2s_easy,1.6864,1.0
textwriting-w2s_easy,1.6999,2.0
textwriting-w2s_hard,0.7901,30.0
textwriting-w2s_hard,1.4066,28.0
textwriting-w2s_hard,1.4097,31.0
textwriting-w2s_hard,1.4112,29.0
textwriting-w2s_hard,1.4347,25.0
textwriting-w2s_hard,1.4529,27.0
textwriting-w2s_medium,0.7901,0.0
textwriting-w2s_medium,1.6842,0.0
textwriting-w2s_medium,1.6855,0.0
textwriting-w2s_medium,1.6945,0.0
textwriting-w2s_medium,1.7144,0.0
textwriting-w2s_medium,1.7354,0.0
waitingline-copy,0.7805,100.0
waitingline-copy,1.8182,100.0
waitingline-copy,1.8486,100.0
waitingline-copy,1.8615,100.0
waitingline-copy,1.8746,100.0
waitingline-copy,1.8812,100.0
waitingline-insert_index,0.7805,42.0
waitingline-insert_index,1.7269,42.0
waitingline-insert_index,1.7917,40.0
waitingline-insert_index,1.8203,40.0
waitingline-insert_index,1.8433,39.0
waitingline-insert_index,1.8724,36.0
waitingline-insert_random,0.7805,92.0
waitingline-insert_random,1.4545,92.0
waitingline-insert_random,1.5587,87.0
waitingline-insert_random,1.6293,83.0
waitingline-insert_random,1.6976,69.0
waitingline-insert_random,1.7827,64.0
waitingline-remove_index,0.7805,41.0
waitingline-remove_index,1.7214,43.0
waitingline-remove_index,1.7867,43.0
waitingline-remove_index,1.8223,44.0
waitingline-remove_index,1.8529,45.0
waitingline-remove_index,1.8681,45.0
waitingline-remove_random,0.7805,0.0
waitingline-remove_random,1.4905,0.0
waitingline-remove_random,1.5296,0.0
waitingline-remove_random,1.5976,0.0
waitingline-remove_random,1.7012,0.0
waitingline-remove_random,1.7798,0.0
waitingline-replace_index,0.7805,0.0
waitingline-replace_index,1.4532,0.0
waitingline-replace_index,1.5038,1.0
waitingline-replace_index,1.5733,2.0
waitingline-replace_index,1.6486,3.0
waitingline-replace_index,1.7269,2.0
waitingline-replace_random,0.7805,89.0
waitingline-replace_random,1.5414,84.0
waitingline-replace_random,1.631,82.0
waitingline-replace_random,1.7167,67.0
waitingline-replace_random,1.811,53.0
waitingline-replace_random,1.8692,45.0
waitingline-reverse,0.7805,90.0
waitingline-reverse,1.726,90.0
waitingline-reverse,1.7778,90.0
waitingline-reverse,1.8028,89.0
waitingline-reverse,1.8286,87.0
waitingline-reverse,1.8401,83.0
waitingline-shuffle,0.7805,0.0
waitingline-shuffle,1.5377,0.0
waitingline-shuffle,1.6572,0.0
waitingline-shuffle,1.7307,0.0
waitingline-shuffle,1.8008,0.0
waitingline-shuffle,1.8508,0.0
waitingline-sort,0.7805,52.0
waitingline-sort,1.3799,51.0
waitingline-sort,1.4506,49.0
waitingline-sort,1.5202,37.0
waitingline-sort,1.5865,29.0
waitingline-sort,1.6693,17.0
avg,0.7845,36.1765
avg,1.576,35.4706
avg,1.629,35.2353
avg,1.6657,34.3529
avg,1.7051,32.0588
avg,1.7442,31.5294
