task,tps,accuracy
puzzles-latin_square,0.7901,13.0
puzzles-latin_square,1.3061,2.0
puzzles-latin_square,1.9394,0.0
puzzles-sudoku,0.7901,0.0
puzzles-sudoku,1.3061,0.0
puzzles-sudoku,1.9394,0.0
textwriting-paraphrasing,0.7901,37.0
textwriting-paraphrasing,1.3061,47.0
textwriting-paraphrasing,1.9394,40.0
textwriting-summarization,0.7901,28.0
textwriting-summarization,1.3061,23.0
textwriting-summarization,1.9394,6.0
textwriting-w2s_easy,0.7901,1.0
textwriting-w2s_easy,1.3061,0.0
textwriting-w2s_easy,1.9394,10.0
textwriting-w2s_hard,0.7901,31.0
textwriting-w2s_hard,1.3061,8.0
textwriting-w2s_hard,1.9394,0.0
textwriting-w2s_medium,0.7901,0.0
textwriting-w2s_medium,1.3061,0.0
textwriting-w2s_medium,1.9394,5.0
waitingline-copy,0.7805,100.0
waitingline-copy,1.28,100.0
waitingline-copy,1.8824,100.0
waitingline-insert_index,0.7805,43.0
waitingline-insert_index,1.28,38.0
waitingline-insert_index,1.8824,36.0
waitingline-insert_random,0.7805,92.0
waitingline-insert_random,1.28,42.0
waitingline-insert_random,1.8824,47.0
waitingline-remove_index,0.7805,41.0
waitingline-remove_index,1.28,42.0
waitingline-remove_index,1.8824,42.0
waitingline-remove_random,0.7805,0.0
waitingline-remove_random,1.28,0.0
waitingline-remove_random,1.8824,0.0
waitingline-replace_index,0.7805,0.0
waitingline-replace_index,1.28,0.0
waitingline-replace_index,1.8824,1.0
waitingline-replace_random,0.7805,88.0
waitingline-replace_random,1.28,44.0
waitingline-replace_random,1.8824,38.0
waitingline-reverse,0.7805,90.0
waitingline-reverse,1.28,82.0
waitingline-reverse,1.8824,78.0
waitingline-shuffle,0.7805,0.0
waitingline-shuffle,1.28,0.0
waitingline-shuffle,1.8824,0.0
waitingline-sort,0.7805,52.0
waitingline-sort,1.28,12.0
waitingline-sort,1.8824,6.0
avg,0.7845,36.2353
avg,1.2907,25.8824
avg,1.9059,24.0588
