task,tps,accuracy
puzzles-latin_square,0.7901,13.0
puzzles-latin_square,1.3061,2.0
puzzles-latin_square,1.9394,0.0
puzzles-sudoku,0.7901,0.0
puzzles-sudoku,1.3061,0.0
puzzles-sudoku,1.9394,0.0
textwriting-paraphrasing,0.7901,89.0
textwriting-paraphrasing,1.3061,63.0
textwriting-paraphrasing,1.9394,38.0
textwriting-summarization,0.7901,72.0
textwriting-summarization,1.3061,43.0
textwriting-summarization,1.9394,6.0
textwriting-w2s_easy,0.7901,76.0
textwriting-w2s_easy,1.3061,39.0
textwriting-w2s_easy,1.9394,9.0
textwriting-w2s_hard,0.7901,78.0
textwriting-w2s_hard,1.3061,17.0
textwriting-w2s_hard,1.9394,0.0
textwriting-w2s_medium,0.7901,66.0
textwriting-w2s_medium,1.3061,35.0
textwriting-w2s_medium,1.9394,5.0
waitingline-copy,0.7805,100.0
waitingline-copy,1.28,100.0
waitingline-copy,1.8824,100.0
waitingline-insert_index,0.7805,39.0
waitingline-insert_index,1.28,42.0
waitingline-insert_index,1.8824,36.0
waitingline-insert_random,0.7805,96.0
waitingline-insert_random,1.28,73.0
waitingline-insert_random,1.8824,45.0
waitingline-remove_index,0.7805,44.0
waitingline-remove_index,1.28,46.0
waitingline-remove_index,1.8824,42.0
waitingline-remove_random,0.7805,1.0
waitingline-remove_random,1.28,1.0
waitingline-remove_random,1.8824,0.0
waitingline-replace_index,0.7805,7.0
waitingline-replace_index,1.28,4.0
waitingline-replace_index,1.8824,0.0
waitingline-replace_random,0.7805,88.0
waitingline-replace_random,1.28,67.0
waitingline-replace_random,1.8824,39.0
waitingline-reverse,0.7805,93.0
waitingline-reverse,1.28,86.0
waitingline-reverse,1.8824,78.0
waitingline-shuffle,0.7805,1.0
waitingline-shuffle,1.28,0.0
waitingline-shuffle,1.8824,0.0
waitingline-sort,0.7805,17.0
waitingline-sort,1.28,13.0
waitingline-sort,1.8824,6.0
avg,0.7845,51.7647
avg,1.2907,37.1176
avg,1.9059,23.7647
