task,tps,accuracy
puzzles-latin_square,0.7901,7.0
puzzles-latin_square,1.8991,6.0
puzzles-latin_square,1.907,6.0
puzzles-latin_square,1.9076,4.0
puzzles-latin_square,1.9167,1.0
puzzles-latin_square,1.9248,1.0
puzzles-sudoku,0.7901,0.0
puzzles-sudoku,1.9394,0.0
puzzles-sudoku,1.9394,0.0
puzzles-sudoku,1.9394,0.0
puzzles-sudoku,1.9394,0.0
puzzles-sudoku,1.9394,0.0
textwriting-paraphrasing,0.7901,33.0
textwriting-paraphrasing,1.7246,33.0
textwriting-paraphrasing,1.7439,33.0
textwriting-paraphrasing,1.7611,33.0
textwriting-paraphrasing,1.7798,30.0
textwriting-paraphrasing,1.8064,30.0
textwriting-summarization,0.7901,28.0
textwriting-summarization,1.7035,28.0
textwriting-summarization,1.7232,28.0
textwriting-summarization,1.7377,28.0
textwriting-summarization,1.7616,27.0
textwriting-summarization,1.7842,24.0
textwriting-w2s_easy,0.7901,1.0
textwriting-w2s_easy,1.9242,1.0
textwriting-w2s_easy,1.9324,1.0
textwriting-w2s_easy,1.9341,1.0
textwriting-w2s_easy,1.9341,1.0
textwriting-w2s_easy,1.9353,1.0
textwriting-w2s_hard,0.7901,31.0
textwriting-w2s_hard,1.574,31.0
textwriting-w2s_hard,1.5764,30.0
textwriting-w2s_hard,1.5853,29.0
textwriting-w2s_hard,1.5956,29.0
textwriting-w2s_hard,1.6113,27.0
textwriting-w2s_medium,0.7901,0.0
textwriting-w2s_medium,1.9388,0.0
textwriting-w2s_medium,1.9394,0.0
textwriting-w2s_medium,1.9394,0.0
textwriting-w2s_medium,1.9394,0.0
textwriting-w2s_medium,1.9394,0.0
waitingline-copy,0.7805,100.0
waitingline-copy,1.8572,100.0
waitingline-copy,1.8746,100.0
waitingline-copy,1.879,100.0
waitingline-copy,1.8824,100.0
waitingline-copy,1.8824,100.0
waitingline-insert_index,0.7805,68.0
waitingline-insert_index,1.7927,68.0
waitingline-insert_index,1.8265,70.0
waitingline-insert_index,1.8444,66.0
waitingline-insert_index,1.8583,65.0
waitingline-insert_index,1.8779,62.0
waitingline-insert_random,0.7805,100.0
waitingline-insert_random,1.4004,100.0
waitingline-insert_random,1.4911,99.0
waitingline-insert_random,1.5873,94.0
waitingline-insert_random,1.7012,76.0
waitingline-insert_random,1.7937,46.0
waitingline-remove_index,0.7805,54.0
waitingline-remove_index,1.811,54.0
waitingline-remove_index,1.8391,56.0
waitingline-remove_index,1.8529,54.0
waitingline-remove_index,1.8637,54.0
waitingline-remove_index,1.879,53.0
waitingline-remove_random,0.7805,0.0
waitingline-remove_random,1.8824,0.0
waitingline-remove_random,1.8824,0.0
waitingline-remove_random,1.8824,0.0
waitingline-remove_random,1.8824,0.0
waitingline-remove_random,1.8824,0.0
waitingline-replace_index,0.7805,0.0
waitingline-replace_index,1.8824,0.0
waitingline-replace_index,1.8824,0.0
waitingline-replace_index,1.8824,0.0
waitingline-replace_index,1.8824,0.0
waitingline-replace_index,1.8824,0.0
waitingline-replace_random,0.7805,98.0
waitingline-replace_random,1.4305,97.0
waitingline-replace_random,1.5474,96.0
waitingline-replace_random,1.6623,89.0
waitingline-replace_random,1.741,77.0
waitingline-replace_random,1.8508,49.0
waitingline-reverse,0.7805,100.0
waitingline-reverse,1.8768,100.0
waitingline-reverse,1.8824,100.0
waitingline-reverse,1.8824,100.0
waitingline-reverse,1.8824,100.0
waitingline-reverse,1.8824,100.0
waitingline-shuffle,0.7805,0.0
waitingline-shuffle,1.8824,0.0
waitingline-shuffle,1.8824,0.0
waitingline-shuffle,1.8824,0.0
waitingline-shuffle,1.8824,0.0
waitingline-shuffle,1.8824,0.0
waitingline-sort,0.7805,49.0
waitingline-sort,1.4085,45.0
waitingline-sort,1.4787,37.0
waitingline-sort,1.534,28.0
waitingline-sort,1.6129,25.0
waitingline-sort,1.6994,15.0
avg,0.7845,39.3529
avg,1.7605,39.0
avg,1.7852,38.5882
avg,1.8055,36.8235
avg,1.8268,34.4118
avg,1.8502,29.8824
