task,tps,accuracy
puzzles-latin_square,0.7901,5.0
puzzles-latin_square,1.3061,0.0
puzzles-latin_square,1.9394,0.0
puzzles-sudoku,0.7901,0.0
puzzles-sudoku,1.3061,0.0
puzzles-sudoku,1.9394,0.0
textwriting-paraphrasing,0.7901,32.0
textwriting-paraphrasing,1.3061,22.0
textwriting-paraphrasing,1.9394,5.0
textwriting-summarization,0.7901,27.0
textwriting-summarization,1.3061,20.0
textwriting-summarization,1.9394,5.0
textwriting-w2s_easy,0.7901,1.0
textwriting-w2s_easy,1.3061,0.0
textwriting-w2s_easy,1.9394,0.0
textwriting-w2s_hard,0.7901,28.0
textwriting-w2s_hard,1.3061,3.0
textwriting-w2s_hard,1.9394,0.0
textwriting-w2s_medium,0.7901,0.0
textwriting-w2s_medium,1.3061,0.0
textwriting-w2s_medium,1.9394,0.0
waitingline-copy,0.7805,100.0
waitingline-copy,1.28,100.0
waitingline-copy,1.8824,100.0
waitingline-insert_index,0.7805,64.0
waitingline-insert_index,1.28,67.0
waitingline-insert_index,1.8824,61.0
waitingline-insert_random,0.7805,98.0
waitingline-insert_random,1.28,78.0
waitingline-insert_random,1.8824,38.0
waitingline-remove_index,0.7805,54.0
waitingline-remove_index,1.28,56.0
waitingline-remove_index,1.8824,52.0
waitingline-remove_random,0.7805,0.0
waitingline-remove_random,1.28,0.0
waitingline-remove_random,1.8824,0.0
waitingline-replace_index,0.7805,0.0
waitingline-replace_index,1.28,0.0
waitingline-replace_index,1.8824,0.0
waitingline-replace_random,0.7805,92.0
waitingline-replace_random,1.28,83.0
waitingline-replace_random,1.8824,39.0
waitingline-reverse,0.7805,100.0
waitingline-reverse,1.28,100.0
waitingline-reverse,1.8824,100.0
waitingline-shuffle,0.7805,0.0
waitingline-shuffle,1.28,0.0
waitingline-shuffle,1.8824,0.0
waitingline-sort,0.7805,22.0
waitingline-sort,1.28,19.0
waitingline-sort,1.8824,7.0
avg,0.7845,36.6471
avg,1.2907,32.2353
avg,1.9059,23.9412
