task,tps,accuracy
puzzles-latin_square,0.7901,30.0
puzzles-latin_square,1.3061,10.0
puzzles-latin_square,1.9394,1.0
puzzles-sudoku,0.7901,0.0
puzzles-sudoku,1.3061,0.0
puzzles-sudoku,1.9394,0.0
textwriting-paraphrasing,0.7901,61.0
textwriting-paraphrasing,1.3061,52.0
textwriting-paraphrasing,1.9394,27.0
textwriting-summarization,0.7901,46.0
textwriting-summarization,1.3061,38.0
textwriting-summarization,1.9394,18.0
textwriting-w2s_easy,0.7901,87.0
textwriting-w2s_easy,1.3061,50.0
textwriting-w2s_easy,1.9394,8.0
textwriting-w2s_hard,0.7901,88.0
textwriting-w2s_hard,1.3061,13.0
textwriting-w2s_hard,1.9394,0.0
textwriting-w2s_medium,0.7901,92.0
textwriting-w2s_medium,1.3061,37.0
textwriting-w2s_medium,1.9394,4.0
waitingline-copy,0.7805,100.0
waitingline-copy,1.28,100.0
waitingline-copy,1.8824,100.0
waitingline-insert_index,0.7805,67.0
waitingline-insert_index,1.28,63.0
waitingline-insert_index,1.8824,62.0
waitingline-insert_random,0.7805,100.0
waitingline-insert_random,1.28,57.0
waitingline-insert_random,1.8824,46.0
waitingline-remove_index,0.7805,62.0
waitingline-remove_index,1.28,61.0
waitingline-remove_index,1.8824,60.0
waitingline-remove_random,0.7805,0.0
waitingline-remove_random,1.28,17.0
waitingline-remove_random,1.8824,5.0
waitingline-replace_index,0.7805,0.0
waitingline-replace_index,1.28,18.0
waitingline-replace_index,1.8824,6.0
waitingline-replace_random,0.7805,100.0
waitingline-replace_random,1.28,50.0
waitingline-replace_random,1.8824,42.0
waitingline-reverse,0.7805,100.0
waitingline-reverse,1.28,100.0
waitingline-reverse,1.8824,100.0
waitingline-shuffle,0.7805,0.0
waitingline-shuffle,1.28,1.0
waitingline-shuffle,1.8824,0.0
waitingline-sort,0.7805,23.0
waitingline-sort,1.28,2.0
waitingline-sort,1.8824,3.0
avg,0.7845,56.2353
avg,1.2907,39.3529
avg,1.9059,28.3529
