task,tps,accuracy
puzzles-latin_square,0.7901,6.0
puzzles-latin_square,1.9076,6.0
puzzles-latin_square,1.9093,5.0
puzzles-latin_square,1.9162,4.0
puzzles-latin_square,1.9225,2.0
puzzles-latin_square,1.9277,2.0
puzzles-sudoku,0.7901,0.0
puzzles-sudoku,1.9394,0.0
puzzles-sudoku,1.9394,0.0
puzzles-sudoku,1.9394,0.0
puzzles-sudoku,1.9394,0.0
puzzles-sudoku,1.9394,0.0
textwriting-paraphrasing,0.7901,33.0
textwriting-paraphrasing,1.7241,33.0
textwriting-paraphrasing,1.7405,33.0
textwriting-paraphrasing,1.7578,33.0
textwriting-paraphrasing,1.7709,29.0
textwriting-paraphrasing,1.8038,29.0
textwriting-summarization,0.7901,28.0
textwriting-summarization,1.6684,28.0
textwriting-summarization,1.6891,28.0
textwriting-summarization,1.7154,28.0
textwriting-summarization,1.7297,28.0
textwriting-summarization,1.7602,26.0
textwriting-w2s_easy,0.7901,1.0
textwriting-w2s_easy,1.9167,1.0
textwriting-w2s_easy,1.926,1.0
textwriting-w2s_easy,1.93,1.0
textwriting-w2s_easy,1.9318,1.0
textwriting-w2s_easy,1.9335,1.0
textwriting-w2s_hard,0.7901,30.0
textwriting-w2s_hard,1.5591,30.0
textwriting-w2s_hard,1.5617,31.0
textwriting-w2s_hard,1.5709,28.0
textwriting-w2s_hard,1.576,26.0
textwriting-w2s_hard,1.5968,24.0
textwriting-w2s_medium,0.7901,0.0
textwriting-w2s_medium,1.9365,0.0
textwriting-w2s_medium,1.9388,0.0
textwriting-w2s_medium,1.9394,0.0
textwriting-w2s_medium,1.9394,0.0
textwriting-w2s_medium,1.9394,0.0
waitingline-copy,0.7805,100.0
waitingline-copy,1.8433,100.0
waitingline-copy,1.867,100.0
waitingline-copy,1.8768,100.0
waitingline-copy,1.8801,100.0
waitingline-copy,1.8824,100.0
waitingline-insert_index,0.7805,66.0
waitingline-insert_index,1.8317,67.0
waitingline-insert_index,1.8583,66.0
waitingline-insert_index,1.8692,66.0
waitingline-insert_index,1.879,63.0
waitingline-insert_index,1.8824,63.0
waitingline-insert_random,0.7805,100.0
waitingline-insert_random,1.4222,100.0
waitingline-insert_random,1.5195,99.0
waitingline-insert_random,1.6121,94.0
waitingline-insert_random,1.7112,79.0
waitingline-insert_random,1.8049,55.0
waitingline-remove_index,0.7805,55.0
waitingline-remove_index,1.8401,56.0
waitingline-remove_index,1.854,56.0
waitingline-remove_index,1.8681,54.0
waitingline-remove_index,1.8724,54.0
waitingline-remove_index,1.8812,52.0
waitingline-remove_random,0.7805,0.0
waitingline-remove_random,1.8824,0.0
waitingline-remove_random,1.8824,0.0
waitingline-remove_random,1.8824,0.0
waitingline-remove_random,1.8824,0.0
waitingline-remove_random,1.8824,0.0
waitingline-replace_index,0.7805,0.0
waitingline-replace_index,1.8824,0.0
waitingline-replace_index,1.8824,0.0
waitingline-replace_index,1.8824,0.0
waitingline-replace_index,1.8824,0.0
waitingline-replace_index,1.8824,0.0
waitingline-replace_random,0.7805,100.0
waitingline-replace_random,1.4713,98.0
waitingline-replace_random,1.5928,97.0
waitingline-replace_random,1.6851,88.0
waitingline-replace_random,1.7582,73.0
waitingline-replace_random,1.8401,49.0
waitingline-reverse,0.7805,100.0
waitingline-reverse,1.8824,100.0
waitingline-reverse,1.8824,100.0
waitingline-reverse,1.8824,100.0
waitingline-reverse,1.8824,100.0
waitingline-reverse,1.8824,100.0
waitingline-shuffle,0.7805,0.0
waitingline-shuffle,1.8824,0.0
waitingline-shuffle,1.8824,0.0
waitingline-shuffle,1.8824,0.0
waitingline-shuffle,1.8824,0.0
waitingline-shuffle,1.8824,0.0
waitingline-sort,0.7805,51.0
waitingline-sort,1.4388,43.0
waitingline-sort,1.5123,31.0
waitingline-sort,1.5842,29.0
waitingline-sort,1.6444,19.0
waitingline-sort,1.7391,12.0
avg,0.7845,39.4118
avg,1.7664,38.9412
avg,1.7905,38.0588
avg,1.8114,36.7647
avg,1.8285,33.7647
avg,1.8506,30.1765
