task,tps,accuracy
puzzles-latin_square,0.7901,39.0
puzzles-latin_square,1.3061,10.0
puzzles-latin_square,1.9394,1.0
puzzles-sudoku,0.7901,0.0
puzzles-sudoku,1.3061,0.0
puzzles-sudoku,1.9394,0.0
textwriting-paraphrasing,0.7901,60.0
textwriting-paraphrasing,1.3061,54.0
textwriting-paraphrasing,1.9394,23.0
textwriting-summarization,0.7901,42.0
textwriting-summarization,1.3061,59.0
textwriting-summarization,1.9394,19.0
textwriting-w2s_easy,0.7901,85.0
textwriting-w2s_easy,1.3061,40.0
textwriting-w2s_easy,1.9394,6.0
textwriting-w2s_hard,0.7901,88.0
textwriting-w2s_hard,1.3061,12.0
textwriting-w2s_hard,1.9394,0.0
textwriting-w2s_medium,0.7901,93.0
textwriting-w2s_medium,1.3061,30.0
textwriting-w2s_medium,1.9394,2.0
waitingline-copy,0.7805,100.0
waitingline-copy,1.28,100.0
waitingline-copy,1.8824,100.0
waitingline-insert_index,0.7805,60.0
waitingline-insert_index,1.28,53.0
waitingline-insert_index,1.8824,56.0
waitingline-insert_random,0.7805,100.0
waitingline-insert_random,1.28,65.0
waitingline-insert_random,1.8824,51.0
waitingline-remove_index,0.7805,62.0
waitingline-remove_index,1.28,62.0
waitingline-remove_index,1.8824,60.0
waitingline-remove_random,0.7805,0.0
waitingline-remove_random,1.28,25.0
waitingline-remove_random,1.8824,2.0
waitingline-replace_index,0.7805,0.0
waitingline-replace_index,1.28,28.0
waitingline-replace_index,1.8824,2.0
waitingline-replace_random,0.7805,100.0
waitingline-replace_random,1.28,46.0
waitingline-replace_random,1.8824,39.0
waitingline-reverse,0.7805,100.0
waitingline-reverse,1.28,100.0
waitingline-reverse,1.8824,100.0
waitingline-shuffle,0.7805,0.0
waitingline-shuffle,1.28,2.0
waitingline-shuffle,1.8824,0.0
waitingline-sort,0.7805,22.0
waitingline-sort,1.28,3.0
waitingline-sort,1.8824,3.0
avg,0.7845,55.9412
avg,1.2907,40.5294
avg,1.9059,27.2941
