task,tps,accuracy
puzzles-latin_square,0.7901,30.0
puzzles-latin_square,1.3061,7.0
puzzles-latin_square,1.9394,1.0
puzzles-sudoku,0.7901,1.8519
puzzles-sudoku,1.3061,0.0
puzzles-sudoku,1.9394,0.0
textwriting-paraphrasing,0.7901,72.0
textwriting-paraphrasing,1.3061,50.0
textwriting-paraphrasing,1.9394,23.0
textwriting-summarization,0.7901,54.0
textwriting-summarization,1.3061,38.0
textwriting-summarization,1.9394,19.0
textwriting-w2s_easy,0.7901,81.0
textwriting-w2s_easy,1.3061,34.0
textwriting-w2s_easy,1.9394,9.0
textwriting-w2s_hard,0.7901,90.0
textwriting-w2s_hard,1.3061,21.0
textwriting-w2s_hard,1.9394,0.0
textwriting-w2s_medium,0.7901,95.0
textwriting-w2s_medium,1.3061,19.0
textwriting-w2s_medium,1.9394,2.0
waitingline-copy,0.7805,100.0
waitingline-copy,1.28,100.0
waitingline-copy,1.8824,100.0
waitingline-insert_index,0.7805,61.0
waitingline-insert_index,1.28,60.0
waitingline-insert_index,1.8824,56.0
waitingline-insert_random,0.7805,100.0
waitingline-insert_random,1.28,89.0
waitingline-insert_random,1.8824,52.0
waitingline-remove_index,0.7805,62.0
waitingline-remove_index,1.28,62.0
waitingline-remove_index,1.8824,60.0
waitingline-remove_random,0.7805,44.0
waitingline-remove_random,1.28,22.0
waitingline-remove_random,1.8824,2.0
waitingline-replace_index,0.7805,29.0
waitingline-replace_index,1.28,9.0
waitingline-replace_index,1.8824,2.0
waitingline-replace_random,0.7805,98.0
waitingline-replace_random,1.28,83.0
waitingline-replace_random,1.8824,39.0
waitingline-reverse,0.7805,100.0
waitingline-reverse,1.28,100.0
waitingline-reverse,1.8824,100.0
waitingline-shuffle,0.7805,38.0
waitingline-shuffle,1.28,14.0
waitingline-shuffle,1.8824,0.0
waitingline-sort,0.7805,17.0
waitingline-sort,1.28,11.0
waitingline-sort,1.8824,3.0
avg,0.7845,63.1089
avg,1.2907,42.2941
avg,1.9059,27.5294
